Treebank,Number of Sentences,Failures,Total,acl,ccomp,flat,nmod,obj,obl,parataxis,root,xcomp
es_ancora-ud-train,14287,0,5,,,1.0,3.0,1.0,,,,
es_ancora-ud-dev,1654,0,0,,,,,,,,,
pt_gsd-ud-train,9616,0,1,,,,,1.0,,,,
it_isdt-ud-train,13121,0,1,,,,1.0,,,,,
qaf_arabizi-ud-train,1003,0,1,,,,,,,1.0,,
qaf_arabizi-ud-dev,139,0,1,,,,,,,1.0,,
it_twittiro-ud-test,142,0,2,,,,1.0,,1.0,,,
it_twittiro-ud-train,1138,0,16,,1.0,,4.0,,9.0,2.0,,
it_markit-ud-test,340,0,1,,,,,,,,,1.0
it_postwita-ud-train,5368,0,56,,1.0,,13.0,,30.0,8.0,4.0,
it_postwita-ud-dev,670,0,7,,,,2.0,,3.0,2.0,,
it_postwita-ud-test,674,0,10,,,,3.0,,4.0,2.0,1.0,
it_vit-ud-train,8277,0,10,1.0,,,3.0,,6.0,,,
es_coser-ud-test,539,0,1,,,,,1.0,,,,
