Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,compound,cop,csubj,dep,discourse,dislocated,expl,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,vocative,xcomp
es_gsd-ud-test,426,0,236,,2.0,24.0,,,,,,,,,,,,,,,,,,47.0,,1.0,35.0,116.0,,,,,6.0,,5.0
es_gsd-ud-dev,1400,0,752,,5.0,71.0,7.0,1.0,,,,,,,,,,,,,,,7.0,165.0,3.0,,98.0,359.0,,1.0,,,5.0,,30.0
es_gsd-ud-train,14187,0,7374,,69.0,684.0,45.0,7.0,,1.0,8.0,1.0,,6.0,3.0,,,,,3.0,,,12.0,1586.0,25.0,21.0,1016.0,3565.0,2.0,7.0,,,49.0,,264.0
pt_porttinari-ud-train,5893,0,1509,,52.0,105.0,5.0,1.0,,,1.0,,,1.0,,,,,,5.0,,,,314.0,2.0,10.0,5.0,770.0,2.0,3.0,,,20.0,,213.0
pt_porttinari-ud-test,1683,0,379,,12.0,28.0,1.0,1.0,,,,,,,,,,,,,,,,79.0,,1.0,1.0,202.0,2.0,,,,5.0,,47.0
pt_porttinari-ud-dev,842,0,199,,5.0,10.0,,1.0,,,1.0,,,,,,,,,,,,,48.0,,1.0,,105.0,1.0,,,,4.0,,23.0
sv_talbanken-ud-train,4303,0,3,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,
pl_pdb-ud-train,17722,0,2,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
es_ancora-ud-train,14287,0,8354,58.0,164.0,482.0,133.0,13.0,29.0,27.0,120.0,62.0,14.0,13.0,1.0,,,22.0,58.0,33.0,,,294.0,1094.0,45.0,75.0,1568.0,3132.0,1.0,3.0,79.0,,134.0,,700.0
es_ancora-ud-test,1721,0,981,7.0,17.0,53.0,15.0,1.0,4.0,1.0,12.0,7.0,3.0,,1.0,,,1.0,10.0,8.0,,,40.0,131.0,5.0,15.0,179.0,363.0,,,8.0,,16.0,,84.0
es_ancora-ud-dev,1654,0,964,7.0,13.0,49.0,19.0,4.0,2.0,1.0,21.0,5.0,4.0,2.0,,,,2.0,7.0,6.0,,,34.0,133.0,5.0,16.0,180.0,357.0,,2.0,12.0,,14.0,,69.0
pt_pud-ud-test,1000,0,144,,,,,,,,,,,,,,,,,,,,,35.0,,,2.0,95.0,,,,,2.0,,10.0
wo_wtb-ud-test,470,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
cs_pud-ud-test,1000,0,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_pud-ud-test,1000,0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
gl_treegal-ud-train,600,0,249,,9.0,13.0,1.0,,,,8.0,,,,,,,,,,31.0,,,50.0,,,13.0,96.0,1.0,,,,6.0,,21.0
gl_treegal-ud-test,400,0,168,,5.0,4.0,1.0,,,,3.0,,,,,,,,,,26.0,,,26.0,1.0,,14.0,70.0,,,,,4.0,,14.0
gl_ctg-ud-dev,860,0,476,,,,2.0,,,,161.0,,,,1.0,,,,,1.0,2.0,,,161.0,11.0,,14.0,70.0,,,,,52.0,,1.0
gl_ctg-ud-test,861,0,412,,,,,,,,126.0,1.0,,,4.0,,,,,,,,,141.0,3.0,,12.0,73.0,,,,,52.0,,
gl_ctg-ud-train,2272,0,1239,,,,3.0,,,,391.0,5.0,,,14.0,,,,,,,,,439.0,10.0,,37.0,208.0,,,,,128.0,,4.0
ro_nonstandard-ud-test,1052,0,3,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,
ro_nonstandard-ud-dev,1052,0,16,,,,,,,,,,,,,,,,,,,,11.0,2.0,,,,3.0,,,,,,,
ro_nonstandard-ud-train,24121,0,173,,2.0,,43.0,,,,2.0,1.0,,,,,,,,,10.0,,7.0,27.0,,,1.0,75.0,,,,,2.0,,3.0
ro_simonero-ud-test,491,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_simonero-ud-train,3747,0,6,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,1.0,,,,,,,,
ro_simonero-ud-dev,443,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_petrogold-ud-train,7170,0,2379,,50.0,125.0,4.0,1.0,,,1.0,,,,,,,,,,,,38.0,375.0,23.0,2.0,12.0,1610.0,,,,,54.0,,84.0
pt_petrogold-ud-test,1039,0,292,,6.0,32.0,2.0,,,,,,,,,,,,,,,,3.0,62.0,,2.0,,154.0,1.0,,,,2.0,,28.0
pt_petrogold-ud-dev,737,0,230,,10.0,26.0,,,,,,,,,,,,,,,,,3.0,57.0,,,,111.0,,,,,8.0,,15.0
pt_gsd-ud-dev,1204,0,217,,,11.0,,1.0,,,,,,,,,,,,,35.0,,,148.0,,,2.0,20.0,,,,,,,
pt_gsd-ud-test,1200,0,263,,,13.0,,,,,,,,,,,,,,,34.0,,,178.0,,,10.0,28.0,,,,,,,
pt_gsd-ud-train,9616,0,1962,,,89.0,7.0,,,,,,,,,,,,,,245.0,,,1322.0,2.0,,71.0,225.0,,,,,1.0,,
ga_twittirish-ud-test,866,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
it_old-ud-train,1748,0,1278,,7.0,127.0,11.0,,,,8.0,,,1.0,,,,,,17.0,,,,20.0,,,,978.0,72.0,2.0,,,8.0,,27.0
it_old-ud-dev,316,0,287,,1.0,40.0,3.0,,,,2.0,,,1.0,,,,,,4.0,1.0,,,6.0,,,,212.0,10.0,,,,,,7.0
it_old-ud-test,338,0,271,,1.0,37.0,2.0,,,,1.0,,,,,,,,,2.0,,,,8.0,,,1.0,202.0,12.0,1.0,,,,,4.0
es_pud-ud-test,1000,0,507,,1.0,2.0,2.0,1.0,1.0,,6.0,,,,,,,,,,,,2.0,58.0,1.0,,1.0,343.0,,,,,20.0,,69.0
it_valico-ud-test,398,0,174,,,,1.0,,,,,,,,,,1.0,,,,,,,2.0,,,1.0,131.0,,,,,7.0,,31.0
it_pud-ud-test,1000,0,509,,6.0,7.0,,,,1.0,3.0,,,,,,,,,,,,3.0,106.0,,,,325.0,,,,,3.0,,55.0
pt_cintil-ud-test,3840,0,781,,,9.0,2.0,,,,21.0,,,,211.0,,,,,,,,,,1.0,,2.0,408.0,,11.0,,,82.0,,34.0
pt_cintil-ud-dev,3840,0,309,,,,1.0,,,,9.0,,,,50.0,,,,,,,,,,,,2.0,105.0,,3.0,,,121.0,,18.0
pt_cintil-ud-train,30720,0,1576,,,12.0,6.0,,,,14.0,,,2.0,378.0,,,,,,,,,,2.0,,7.0,614.0,,15.0,,,491.0,,35.0
br_keb-ud-test,884,0,53,,,,,,,,,,,,,,,,,,,,,42.0,1.0,,,9.0,,,,,1.0,,
fr_gsd-ud-train,14450,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0
it_isdt-ud-test,482,0,231,,4.0,4.0,4.0,,,,5.0,,,,,,,,,,,,2.0,41.0,,,,149.0,,,,,4.0,,18.0
it_isdt-ud-train,13121,0,6289,,80.0,170.0,49.0,1.0,,,67.0,,,,,,,,,,,,25.0,1338.0,,30.0,1.0,3905.0,,2.0,,,49.0,,572.0
it_isdt-ud-dev,564,0,250,,6.0,10.0,,,,,2.0,,,,,,,,,,,,2.0,57.0,,,,150.0,,,,,3.0,,20.0
fr_rhapsodie-ud-train,1288,0,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_parisstories-ud-train,1387,0,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
ga_idt-ud-train,4005,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
ga_idt-ud-dev,451,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
ro_art-ud-test,50,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
ht_autogramm-ud-test,144,0,3,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,
pt_bosque-ud-dev,1172,0,390,,3.0,5.0,2.0,,,,,,,,,,,,,,29.0,1.0,1.0,120.0,1.0,3.0,75.0,148.0,,,,,1.0,,1.0
pt_bosque-ud-test,1167,0,343,,,2.0,2.0,,,,,,,,,,,,,,35.0,,,90.0,,1.0,75.0,131.0,,1.0,,,4.0,,2.0
pt_bosque-ud-train,7018,0,2282,,9.0,17.0,19.0,,,,2.0,,,,,,,,,1.0,222.0,,7.0,538.0,,3.0,440.0,996.0,,4.0,,,20.0,,4.0
fro_profiterole-ud-train,15503,0,624,,12.0,7.0,11.0,,,,,,,,,,,,,,29.0,,,28.0,,,5.0,443.0,,,,,4.0,,85.0
la_udante-ud-train,926,0,121,,2.0,2.0,,,,,1.0,,,,,,,,,,,,,2.0,,,1.0,106.0,5.0,,,,2.0,,
la_udante-ud-test,419,0,34,,,2.0,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,
la_udante-ud-dev,376,0,46,,1.0,5.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,37.0,1.0,,,,,,
it_partut-ud-dev,156,0,60,,2.0,4.0,,,,,,,,,,,,,,,,,,11.0,,,,36.0,,,,,,,7.0
it_partut-ud-test,153,0,113,,1.0,5.0,1.0,,,,1.0,,,1.0,,,,,,,,,,21.0,,,,78.0,,,,,1.0,,4.0
it_partut-ud-train,1781,0,1163,,11.0,45.0,2.0,,,,7.0,,,,,,,,,,,,2.0,254.0,,2.0,,703.0,,,,,6.0,,131.0
ro_rrt-ud-test,729,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_rrt-ud-train,8043,0,17,,,,3.0,,,,,,,,,,,,,,,,,3.0,,,,11.0,,,,,,,
ro_rrt-ud-dev,752,0,3,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
ca_ancora-ud-dev,1709,0,1374,5.0,21.0,32.0,24.0,2.0,9.0,6.0,10.0,22.0,4.0,,,,,,12.0,18.0,,,35.0,262.0,,6.0,98.0,702.0,,,6.0,,19.0,,81.0
ca_ancora-ud-test,1846,0,1452,3.0,21.0,20.0,31.0,1.0,2.0,13.0,11.0,18.0,,,1.0,,,,5.0,30.0,,,37.0,273.0,3.0,15.0,95.0,772.0,,1.0,5.0,,24.0,,71.0
ca_ancora-ud-train,13123,0,10428,32.0,146.0,216.0,235.0,9.0,43.0,53.0,79.0,144.0,12.0,3.0,3.0,,,,39.0,113.0,,,257.0,2180.0,16.0,43.0,656.0,5382.0,,4.0,60.0,,195.0,,508.0
gd_arcosg-ud-test,545,0,27,,,,1.0,,,,,,,,,,,,,,,,,9.0,,,,14.0,,,,,,,3.0
gd_arcosg-ud-train,3541,0,210,,,1.0,,,,,2.0,,,,,,,,,,,,,56.0,,,,133.0,,,,,4.0,,14.0
gd_arcosg-ud-dev,655,0,24,,,,,,,,,,,,,,,,,,,,,12.0,,,,11.0,,,,,,,1.0
cy_ccg-ud-test,953,0,3,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
nhi_itml-ud-test,909,0,16,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,5.0,,2.0,,,5.0,,
de_gsd-ud-train,13814,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
de_gsd-ud-test,977,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_twittiro-ud-test,142,0,59,,1.0,3.0,1.0,,,,,,,,,,1.0,,,,,,1.0,12.0,,,1.0,28.0,,4.0,,,2.0,,5.0
it_twittiro-ud-train,1138,0,539,,5.0,9.0,3.0,,,,2.0,,,,,1.0,4.0,,,,9.0,,1.0,107.0,2.0,1.0,,295.0,1.0,11.0,,,15.0,2.0,71.0
it_twittiro-ud-dev,144,0,71,,2.0,1.0,,,,,,,,,,,,,,,5.0,,,12.0,,,,36.0,,2.0,,,3.0,,10.0
it_markit-ud-test,340,0,185,,5.0,4.0,,,,,1.0,,,1.0,,,3.0,,,,,,,24.0,,,,114.0,,,,,,,33.0
it_markit-ud-train,611,0,379,,10.0,6.0,2.0,,,,14.0,,,1.0,,,1.0,,,,,,2.0,75.0,,,1.0,212.0,,1.0,,,3.0,,51.0
it_markit-ud-dev,341,0,188,,8.0,3.0,,,,,9.0,,,,,,1.0,,,,,,,26.0,,1.0,1.0,109.0,,1.0,,,,,29.0
gl_pud-ud-test,1000,0,433,,4.0,10.0,2.0,4.0,,,4.0,,,,,3.0,,,,,25.0,,1.0,61.0,7.0,,60.0,187.0,,3.0,,,14.0,,48.0
azz_itml-ud-test,1260,0,2,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,
it_postwita-ud-train,5368,0,2201,,25.0,49.0,8.0,1.0,,,16.0,,,,2.0,2.0,6.0,,,1.0,7.0,,1.0,634.0,1.0,16.0,1.0,1080.0,9.0,46.0,,,72.0,,224.0
it_postwita-ud-dev,670,0,244,,3.0,6.0,,,,,1.0,,,,,1.0,,,,,1.0,,,66.0,,3.0,,117.0,2.0,3.0,,,3.0,,38.0
it_postwita-ud-test,674,0,290,,6.0,9.0,,,,,1.0,,,,,,1.0,,,,,,1.0,83.0,,,1.0,142.0,,5.0,,,12.0,1.0,28.0
sga_dipwbg-ud-test,34,0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
it_vit-ud-train,8277,0,5271,,80.0,129.0,39.0,2.0,,,431.0,3.0,,,,,,,,1.0,,,15.0,1365.0,,62.0,,3006.0,,3.0,,,54.0,,81.0
it_vit-ud-test,1067,0,608,,9.0,13.0,2.0,,,,63.0,,,,,,,,,,,,2.0,196.0,,2.0,,309.0,,,,,3.0,,9.0
it_vit-ud-dev,743,0,965,,5.0,10.0,2.0,,,,25.0,,,,,,,,,,,,5.0,386.0,,1.0,,521.0,,,,,6.0,,4.0
ga_cadhan-ud-test,193,0,2,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
cs_cac-ud-train,23478,0,4,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,1.0,,
it_parlamint-ud-test,375,0,239,,2.0,10.0,1.0,,,1.0,7.0,,,,,,,,,,,,2.0,41.0,,,,148.0,,,,,,,27.0
it_parlamint-ud-train,326,0,220,,3.0,8.0,1.0,,,,6.0,,,,,,,,,,,,,44.0,,,,132.0,,,,,2.0,,24.0
fr_sequoia-ud-train,2231,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
es_coser-ud-test,539,0,162,,,15.0,5.0,1.0,,,,1.0,,,,1.0,,,,,,,,3.0,1.0,1.0,15.0,63.0,,1.0,,6.0,17.0,,32.0
