Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,dep,dislocated,flat,nmod,nsubj,obl,orphan,parataxis,root,xcomp
de_hdt-ud-test,18459,0,304,,,54.0,,,1.0,,,,,44.0,,102.0,,,101.0,2.0
de_hdt-ud-train,153035,0,1915,,,198.0,,6.0,1.0,,,,,212.0,,733.0,,19.0,731.0,15.0
de_hdt-ud-dev,18434,0,267,,,37.0,,,,,,,,31.0,,102.0,,3.0,93.0,1.0
la_circse-ud-test,1263,0,42,,,,,,,,,,,1.0,,37.0,4.0,,,
la_perseus-ud-test,939,0,40,,,,,,,,,,,1.0,,39.0,,,,
la_perseus-ud-train,1334,0,96,1.0,1.0,,2.0,,,,,,2.0,4.0,,86.0,,,,
de_pud-ud-test,1000,0,4,,,,,,,,,,,,,4.0,,,,
it_old-ud-train,1748,0,1,,,,,,,,,,,,,1.0,,,,
la_llct-ud-dev,850,0,285,,,,,1.0,,,,,,,,283.0,,,1.0,
la_llct-ud-test,884,0,351,,2.0,,,,,,,,,2.0,,347.0,,,,
la_llct-ud-train,7289,0,2354,1.0,25.0,,,,,,,1.0,,1.0,,2323.0,,,3.0,
la_proiel-ud-test,1260,0,98,2.0,,,1.0,,,,,,,2.0,,91.0,1.0,,1.0,
la_proiel-ud-dev,1233,0,117,2.0,,2.0,,,,,,,,6.0,,103.0,,,4.0,
la_proiel-ud-train,16196,0,1313,6.0,7.0,21.0,9.0,3.0,,,2.0,1.0,3.0,52.0,1.0,1155.0,28.0,1.0,22.0,2.0
de_lit-ud-test,1920,0,2,,,,,,,,,,,,,,,1.0,1.0,
la_udante-ud-train,926,0,114,,5.0,,,1.0,,2.0,,,,,,106.0,,,,
la_udante-ud-test,419,0,40,,2.0,,,,,,,,,,,37.0,1.0,,,
la_udante-ud-dev,376,0,29,,1.0,,,,,,,,,1.0,,27.0,,,,
cy_ccg-ud-test,953,0,1,,,,,,,,,,,,1.0,,,,,
de_gsd-ud-train,13814,0,252,,3.0,4.0,,1.0,,,,,,54.0,,103.0,,,87.0,
de_gsd-ud-dev,799,0,8,,,1.0,,1.0,,,,,,,,,,,6.0,
de_gsd-ud-test,977,0,9,,,,,,,,,,,,,3.0,,,6.0,
la_ittb-ud-dev,2101,0,183,1.0,4.0,,,,,1.0,,,,11.0,,160.0,3.0,,3.0,
la_ittb-ud-test,2101,0,195,1.0,2.0,,,,,,,,,39.0,,145.0,4.0,,3.0,1.0
la_ittb-ud-train,22775,0,3048,5.0,77.0,5.0,,5.0,,9.0,,,,164.0,,2682.0,38.0,,60.0,3.0
qtd_sagt-ud-test,805,0,1,,,,,,,,,,,,,,,,1.0,
qtd_sagt-ud-dev,801,0,2,,,,,,1.0,,,,,,,1.0,,,,
qtd_sagt-ud-train,578,0,1,,,,,,,,,,,,,1.0,,,,
