Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,dislocated,flat,mark,nmod,nsubj,nummod,obj,obl,parataxis,reparandum,root,xcomp
no_bokmaal-ud-dev,2409,0,416,13.0,11.0,3.0,3.0,2.0,,1.0,,,284,,,2.0,91,,,6,
no_bokmaal-ud-test,1939,0,340,7.0,5.0,3.0,,,,,,,244,2.0,,2.0,75,,,2,
no_bokmaal-ud-train,15696,0,2773,34.0,48.0,22.0,6.0,4.0,,,,,1915,2.0,,4.0,729,,,6,3.0
sv_talbanken-ud-dev,504,0,98,1.0,3.0,2.0,,,,1.0,,2.0,56,,,,32,,,1,
sv_talbanken-ud-test,1219,0,273,5.0,6.0,2.0,1.0,,,,,,213,,,,41,1.0,,2,2.0
sv_talbanken-ud-train,4303,0,903,16.0,9.0,5.0,,1.0,1.0,,,2.0,596,,1.0,1.0,262,1.0,,5,3.0
no_nynorsk-ud-dev,1890,0,352,7.0,9.0,3.0,,,,,,,251,,,2.0,75,,,5,
no_nynorsk-ud-test,1511,0,309,2.0,5.0,2.0,,,,,,,231,,,,66,,,3,
no_nynorsk-ud-train,14174,0,2703,43.0,61.0,11.0,,1.0,,,,,1960,,,9.0,597,,1.0,13,7.0
sv_lines-ud-dev,1032,0,209,3.0,1.0,,,2.0,,,,,139,,,1.0,62,,,1,
sv_lines-ud-train,3176,0,544,15.0,3.0,4.0,1.0,6.0,,1.0,,,339,,4.0,1.0,164,,,1,5.0
sv_lines-ud-test,1035,0,179,6.0,,1.0,,2.0,,1.0,2.0,,113,,,,50,1.0,,3,
fo_oft-ud-test,1208,0,99,,1.0,,,,,,,,77,,,,14,,,7,
sv_pud-ud-test,1000,0,352,4.0,4.0,,,1.0,,,,,259,1.0,,1.0,79,1.0,,2,
