Treebank,Number of Sentences,Failures,Total,acl,advcl,appos,ccomp,dep,nmod,nsubj,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
frm_profiterole-ud-test,512,0,29,,,,,,3,,,26,,,,,,
fr_pud-ud-test,1000,0,77,,,,,,26,,,51,,,,,,
fr_fqb-ud-test,2289,0,13,,,,,,5,,,8,,,,,,
fr_gsd-ud-test,416,0,30,,,1.0,1.0,,11,,,17,,,,,,
fr_gsd-ud-train,14450,0,1191,1.0,4.0,,,,345,,,828,5.0,,,6.0,,2.0
fr_gsd-ud-dev,1476,0,105,,,,,,31,,,73,1.0,,,,,
fr_rhapsodie-ud-train,1288,0,45,1.0,,,1.0,1.0,10,,,27,,,1.0,3.0,,1.0
fr_rhapsodie-ud-dev,1081,0,32,,,,1.0,,9,,,21,,,1.0,,,
fr_rhapsodie-ud-test,840,0,51,,,,2.0,,15,,,32,,,1.0,1.0,,
fr_parisstories-ud-dev,692,0,27,,,,,,4,,,21,,,,1.0,,1.0
fr_parisstories-ud-train,1387,0,93,2.0,3.0,,,1.0,22,,,54,,1.0,2.0,5.0,,3.0
fr_parisstories-ud-test,697,0,50,,1.0,,,,8,,,33,,,2.0,6.0,,
qaf_arabizi-ud-train,1003,0,206,,,,1.0,,48,2.0,5.0,124,,16.0,,7.0,2.0,1.0
qaf_arabizi-ud-test,145,0,20,,,,,,5,,1.0,10,,1.0,,3.0,,
qaf_arabizi-ud-dev,139,0,32,1.0,,,,,6,,,22,,1.0,,1.0,1.0,
fr_partut-ud-dev,107,0,6,,,,,,1,,,5,,,,,,
fr_partut-ud-test,110,0,3,,,,,,2,,,1,,,,,,
fr_partut-ud-train,803,0,44,,,,,,18,,,26,,,,,,
fr_sequoia-ud-test,456,0,30,,,,,,13,,,17,,,,,,
fr_sequoia-ud-train,2231,0,136,,,,,,54,,,81,,,,1.0,,
fr_sequoia-ud-dev,412,0,29,,,,,,12,,,17,,,,,,
