Treebank,Number of Sentences,Failures,Total,advcl,advmod,ccomp,nmod,nsubj,obl,xcomp
tr_pud-ud-test,1000,0,4,,,,2.0,,1.0,1.0
tr_kenet-ud-dev,1646,0,7,,,,,,7.0,
tr_kenet-ud-test,1643,0,5,,,,1.0,,4.0,
tr_kenet-ud-train,15398,0,28,2.0,,,4.0,,22.0,
tr_framenet-ud-test,205,0,1,,,,,,1.0,
tr_framenet-ud-train,2288,0,14,4.0,,,7.0,2.0,1.0,
tr_framenet-ud-dev,205,0,1,1.0,,,,,,
tr_gb-ud-test,2880,0,17,3.0,,,,,14.0,
ota_boun-ud-train,114,0,2,,,,,,2.0,
ota_boun-ud-test,400,0,5,,,,,,5.0,
qtd_sagt-ud-dev,801,0,3,,,,,,3.0,
tr_imst-ud-train,3435,0,8,,3.0,,1.0,,4.0,
tr_imst-ud-dev,1100,0,1,,,,,,1.0,
tr_imst-ud-test,1100,0,2,,,,,,2.0,
tr_boun-ud-dev,979,0,3,,,,,,3.0,
tr_boun-ud-test,979,0,7,1.0,,,,,6.0,
tr_boun-ud-train,7803,0,19,1.0,1.0,,1.0,,16.0,
tr_penn-ud-dev,622,0,1,,,,1.0,,,
tr_penn-ud-test,924,0,4,,1.0,,2.0,,1.0,
tr_penn-ud-train,14850,0,29,,1.0,1.0,13.0,,14.0,
