Treebank,Number of Sentences,Failures,Total,advcl,compound,nmod,obl,parataxis,root,xcomp
en_partut-ud-train,1781,0,2,,,1.0,1.0,,,
en_partut-ud-test,153,0,2,,,,2.0,,,
en_gum-ud-train,9521,0,16,1.0,,5.0,8.0,,2.0,
en_gum-ud-test,1285,0,3,,,,2.0,,1.0,
en_gum-ud-dev,1341,0,3,,1.0,,2.0,,,
en_lines-ud-train,3176,0,3,,,2.0,1.0,,,
en_lines-ud-dev,1032,0,3,,,1.0,2.0,,,
en_ewt-ud-dev,2001,0,1,,,1.0,,,,
en_ewt-ud-train,12544,0,7,,,1.0,3.0,,3.0,
pcm_nsc-ud-dev,990,0,1,,,,,,,1.0
pcm_nsc-ud-train,7279,0,1,,,,1.0,,,
pcm_nsc-ud-test,972,0,1,,,,1.0,,,
en_pud-ud-test,1000,0,1,,,,,1.0,,
