Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,cop,csubj,nmod,obj,obl,parataxis,root,xcomp
de_hdt-ud-test,18459,0,14,,,,,,,2.0,,12,,,
de_hdt-ud-train,153035,0,63,,,,,,,6.0,,57,,,
de_hdt-ud-dev,18434,0,3,,,,,,,,,3,,,
nl_lassysmall-ud-test,1761,0,16,,,,,1.0,1.0,4.0,,9,,1.0,
nl_lassysmall-ud-dev,1542,0,18,1.0,,,,,,5.0,1.0,9,,2.0,
nl_lassysmall-ud-train,13817,0,120,4.0,3.0,,2.0,,1.0,37.0,,35,4.0,31.0,3.0
de_gsd-ud-train,13814,0,2,,,,,,,1.0,,1,,,
nl_alpino-ud-train,12289,0,68,2.0,5.0,1.0,,,,12.0,,29,1.0,18.0,
nl_alpino-ud-test,596,0,6,,,,,,,2.0,,4,,,
nl_alpino-ud-dev,718,0,6,,,,,,,3.0,,2,,1.0,
