Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,nmod,obj,obl,root
tr_pud-ud-test,1000,0,15,,,,1.0,,14.0,
tr_kenet-ud-dev,1646,0,3,,,,,,3.0,
tr_kenet-ud-test,1643,0,6,,,,1.0,,5.0,
tr_kenet-ud-train,15398,0,17,,,,4.0,1.0,11.0,1.0
tr_framenet-ud-train,2288,0,9,,,1.0,2.0,,3.0,3.0
tr_framenet-ud-dev,205,0,1,,,,1.0,,,
tr_gb-ud-test,2880,0,3,,,,,,3.0,
tr_tourism-ud-train,15473,0,1,,,,,,,1.0
tr_tourism-ud-dev,2166,0,1,,,,,,1.0,
tr_imst-ud-train,3435,0,9,,3.0,1.0,1.0,,4.0,
tr_imst-ud-dev,1100,0,8,,2.0,1.0,2.0,,3.0,
tr_boun-ud-dev,979,0,4,,,,1.0,,2.0,1.0
tr_boun-ud-test,979,0,4,1.0,,,,,2.0,1.0
tr_boun-ud-train,7803,0,24,1.0,,4.0,,,17.0,2.0
tr_penn-ud-dev,622,0,2,,,,1.0,,1.0,
tr_penn-ud-test,924,0,5,,,,4.0,,1.0,
tr_penn-ud-train,14850,0,60,1.0,,2.0,16.0,,37.0,4.0
