Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,csubj,discourse,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
wo_wtb-ud-dev,449,0,44,2.0,4.0,,,1.0,,,,,7.0,,,,27,,,3.0,
wo_wtb-ud-test,470,0,57,2.0,1.0,,,1.0,,,,,14.0,,1.0,1.0,34,,,3.0,
wo_wtb-ud-train,1188,0,147,13.0,11.0,,,,1.0,,,,11.0,,,,101,1.0,1.0,7.0,1.0
ro_nonstandard-ud-test,1052,0,30,,8.0,,,1.0,1.0,,,,8.0,,,1.0,8,,,3.0,
ro_nonstandard-ud-dev,1052,0,63,1.0,24.0,,,,,,1.0,,11.0,,,,18,,1.0,5.0,2.0
ro_nonstandard-ud-train,24121,0,2187,51.0,837.0,53.0,9.0,57.0,14.0,3.0,,3.0,218.0,7.0,33.0,1.0,702,3.0,10.0,136.0,50.0
ro_tuecl-ud-test,210,0,14,,1.0,,,,,,,,1.0,,,,9,,,2.0,1.0
ro_art-ud-test,50,0,1,,,,,,,,,,,,,,1,,,,
ro_rrt-ud-test,729,0,24,,,,,,,,,,4.0,,,,18,,,,2.0
ro_rrt-ud-train,8043,0,371,,14.0,9.0,1.0,1.0,,,1.0,,59.0,,3.0,5.0,247,,1.0,5.0,25.0
ro_rrt-ud-dev,752,0,33,,4.0,1.0,,,,,,,10.0,,,,14,,,1.0,3.0
gl_pud-ud-test,1000,0,1,,,,,,,,,,,,,,1,,,,
