Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,compound,cop,dep,discourse,dislocated,expl,fixed,flat,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,xcomp
es_gsd-ud-test,426,0,101,,2.0,2.0,,,,,,,,,,,,,,,31,,,,66.0,,,,,,
es_gsd-ud-dev,1400,0,300,,3.0,,,,,,,,,,,,,,,,110,,,,187.0,,,,,,
es_gsd-ud-train,14187,0,3084,,9.0,27.0,,1.0,,,1.0,,,,,,,,1.0,,1043,1.0,,,1991.0,,1.0,,,9.0,
es_ancora-ud-train,14287,0,2739,11.0,18.0,47.0,53.0,1.0,6.0,6.0,11.0,2.0,2.0,,,,5.0,6.0,8.0,6.0,698,8.0,34.0,10.0,1753.0,,1.0,21.0,,13.0,19.0
es_ancora-ud-test,1721,0,316,2.0,1.0,7.0,2.0,,1.0,2.0,2.0,,,1.0,,,,1.0,1.0,1.0,77,,4.0,6.0,205.0,,,1.0,,2.0,
es_ancora-ud-dev,1654,0,334,3.0,1.0,9.0,7.0,2.0,3.0,2.0,1.0,,,1.0,,,,,1.0,,82,1.0,9.0,,203.0,,,4.0,,3.0,2.0
gl_treegal-ud-train,600,0,122,,1.0,1.0,,,,,,,,,,,,,,,37,,,,80.0,,1.0,,,2.0,
gl_treegal-ud-test,400,0,73,,1.0,,,,,,,,,,,,,,,,27,2.0,,,42.0,,,,,1.0,
gl_ctg-ud-dev,860,0,217,,,,1.0,,,,1.0,,,1.0,,,,,,,91,,,,122.0,,,,,1.0,
gl_ctg-ud-test,861,0,220,,,,3.0,,,,4.0,,,1.0,,,,,,,103,,,,106.0,,,,,3.0,
gl_ctg-ud-train,2272,0,531,,,,4.0,,,,7.0,,,2.0,,,,,,,231,,,2.0,281.0,,,,,4.0,
ga_twittirish-ud-train,866,0,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
it_old-ud-train,1748,0,392,,2.0,2.0,,,,,,,,,,,,,,,31,1.0,,,344.0,9.0,2.0,,,1.0,
it_old-ud-dev,316,0,85,,,,,,,,,,,,,,,,,,3,,,1.0,80.0,1.0,,,,,
it_old-ud-test,338,0,87,,2.0,2.0,1.0,,,,,,,,,,,,,,5,,,,74.0,2.0,1.0,,,,
es_pud-ud-test,1000,0,154,,,,,,,,,,,,,,,,,,43,,,,109.0,,,,,,2.0
it_valico-ud-test,398,0,56,,,,,,,,,,,,,,,,,,18,,,,37.0,,1.0,,,,
it_pud-ud-test,1000,0,124,,,,,,,,,,,,,,,,,,35,,,,89.0,,,,,,
it_isdt-ud-test,482,0,59,,,,,,,,,,,,,,,,,,15,,1.0,,43.0,,,,,,
it_isdt-ud-train,13121,0,1275,,1.0,1.0,2.0,,,,,,,,,,,,,,348,,6.0,,904.0,,,1.0,,12.0,
it_isdt-ud-dev,564,0,64,,,,,,,,,,,,,,,,,,15,,,,49.0,,,,,,
lij_glt-ud-test,296,0,30,,,2.0,,,,,,,,,,,,,,,4,,,,24.0,,,,,,
it_partut-ud-dev,156,0,14,,,,,,,,,,,,,,,,,,2,,,,12.0,,,,,,
it_partut-ud-test,153,0,12,,,,,,,,,,,,,,,,,,3,,,,9.0,,,,,,
it_partut-ud-train,1781,0,169,,1.0,,,,,,,,,,,,,,,,46,,,,122.0,,,,,,
ca_ancora-ud-train,13123,0,2,,,,,,,,,,,,,,,,,,1,,,,,,,1.0,,,
it_twittiro-ud-test,142,0,14,,,,,,,,,,,,,,,,,,4,,1.0,,9.0,,,,,,
it_twittiro-ud-train,1138,0,129,,,1.0,,,,,,,,,,,,,,,27,,1.0,1.0,94.0,,3.0,,,2.0,
it_twittiro-ud-dev,144,0,12,,,,,,,,,,,,,,,,,,5,,,,7.0,,,,,,
it_markit-ud-test,340,0,33,,,,,,,,,,,,,,,,,,7,,,,26.0,,,,,,
it_markit-ud-train,611,0,93,,,,,,,,,,,,,1.0,,,,,16,,,,73.0,1.0,1.0,,,1.0,
it_markit-ud-dev,341,0,46,,,,,,,,,,,,,,,,,,18,,,,28.0,,,,,,
gl_pud-ud-test,1000,0,162,,,,1.0,,,,,,,,,,,,,,42,2.0,,,99.0,,,,,17.0,1.0
it_postwita-ud-train,5368,0,416,,,2.0,1.0,,,,1.0,,,,,,,,,,103,1.0,,1.0,285.0,1.0,14.0,,,7.0,
it_postwita-ud-dev,670,0,44,,,,,1.0,,,,,,,,,,,,,13,,,,28.0,,2.0,,,,
it_postwita-ud-test,674,0,46,,,,,,,,,,,,,,,,,,14,,,,31.0,,1.0,,,,
it_vit-ud-train,8277,0,1253,,1.0,2.0,3.0,,,,,,,,1.0,,,,1.0,,410,,19.0,,805.0,,,,,10.0,1.0
it_vit-ud-test,1067,0,154,,,,,1.0,,,,,,,,,,,,,45,,,,107.0,,,,,1.0,
it_vit-ud-dev,743,0,123,,,,,,,,,,,,,,,,,,29,,,,93.0,,,,,1.0,
it_parlamint-ud-test,375,0,52,,,,,,,,,,,,,,,,,,10,,,,42.0,,,,,,
it_parlamint-ud-train,326,0,45,,,,,,,,,,,,,,,,,,10,,,,35.0,,,,,,
es_coser-ud-test,539,0,41,,,1.0,,,,,,,,,,,,,,,7,1.0,,,26.0,,,,3.0,3.0,
