Treebank,Number of Sentences,Failures,Total,acl,advmod,ccomp,iobj,nmod,nsubj,obl,orphan,parataxis,root,xcomp
ro_nonstandard-ud-test,1052,0,18,,,,,2.0,,16,,,,
ro_nonstandard-ud-dev,1052,0,31,,,,,1.0,,30,,,,
ro_nonstandard-ud-train,24121,0,657,6.0,1.0,1.0,,59.0,1.0,578,1.0,2.0,7.0,1.0
ro_simonero-ud-test,491,0,3,,,,,2.0,,1,,,,
ro_simonero-ud-train,3747,0,17,,,,,10.0,,7,,,,
ro_simonero-ud-dev,443,0,4,,,,,,,4,,,,
ro_tuecl-ud-test,210,0,1,,,,,,,1,,,,
ro_rrt-ud-test,729,0,3,,,,,1.0,,2,,,,
ro_rrt-ud-train,8043,0,44,,,,1.0,10.0,,33,,,,
ro_rrt-ud-dev,752,0,5,,,,,3.0,,2,,,,
