Treebank,Number of Sentences,Failures,Total,appos,ccomp,nmod,obl,root,xcomp
fr_gsd-ud-test,416,0,1,,,,1.0,,
fr_gsd-ud-train,14450,0,28,,,3.0,25.0,,
fr_gsd-ud-dev,1476,0,1,,,,1.0,,
fr_rhapsodie-ud-train,1288,0,1,,,,1.0,,
fr_rhapsodie-ud-dev,1081,0,1,,,,1.0,,
fr_parisstories-ud-dev,692,0,2,,,,2.0,,
fr_parisstories-ud-train,1387,0,3,1.0,1.0,,,,1.0
fr_parisstories-ud-test,697,0,2,,,,1.0,1.0,
qaf_arabizi-ud-train,1003,0,1,,,1.0,,,
qaf_arabizi-ud-test,145,0,1,,,,1.0,,
fr_sequoia-ud-test,456,0,1,,,,1.0,,
fr_sequoia-ud-train,2231,0,2,,,,2.0,,
