Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,dep,discourse,dislocated,flat,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
kmr_mg-ud-train,20,0,3,,,,,,,,,,,,,3.0,,,,,,,,
kmr_mg-ud-test,734,0,254,,1.0,,,2.0,,,,,,1.0,,237.0,,,,1.0,1.0,4.0,7.0,
yo_ytb-ud-test,318,0,2,,,,,,,,,,,,,,,,2.0,,,,,
wo_wtb-ud-test,470,0,2,,,1.0,,,,,,,,,1.0,,,,,,,,,
wo_wtb-ud-train,1188,0,1,,,,,,,,,,,,,1.0,,,,,,,,
cs_pud-ud-test,1000,0,1,,,,,,,,,,,,,,1.0,,,,,,,
ro_nonstandard-ud-train,24121,0,1,,,,,,,,,,,,,,,,,1.0,,,,
it_old-ud-train,1748,0,1530,24.0,53.0,97.0,,9.0,,3.0,,,1.0,10.0,,732.0,,3.0,12.0,537.0,6.0,4.0,14.0,25.0
it_old-ud-dev,316,0,321,9.0,11.0,20.0,,3.0,,1.0,,,,1.0,,147.0,1.0,1.0,,113.0,4.0,2.0,,8.0
it_old-ud-test,338,0,331,2.0,10.0,26.0,,,,1.0,,,1.0,2.0,,169.0,1.0,,7.0,104.0,1.0,,2.0,5.0
id_gsd-ud-train,4482,0,1879,8.0,17.0,,1.0,2.0,1.0,,,,,,,912.0,6.0,1.0,,914.0,,2.0,9.0,6.0
id_gsd-ud-test,557,0,229,,3.0,,,1.0,,,,,,,,92.0,1.0,,,131.0,,,1.0,
id_gsd-ud-dev,559,0,222,2.0,,,,,,,,,,,,104.0,,,,116.0,,,,
it_valico-ud-test,398,0,122,3.0,,3.0,,1.0,,,,,,,2.0,63.0,,,,24.0,,,,26.0
id_pud-ud-test,1000,0,415,8.0,3.0,,,1.0,,,,,,,,168.0,2.0,,,232.0,,,1.0,
it_pud-ud-test,1000,0,1468,44.0,1.0,3.0,,4.0,,,,,,,2.0,1261.0,,,1.0,104.0,,,5.0,43.0
fr_gsd-ud-train,14450,0,11,,,,,,,,,,,,,11.0,,,,,,,,
it_isdt-ud-test,482,0,693,13.0,1.0,5.0,,3.0,,,,,,,4.0,601.0,,2.0,,50.0,,,2.0,12.0
it_isdt-ud-train,13121,0,17087,459.0,87.0,91.0,,105.0,,,2.0,,,5.0,56.0,14578.0,2.0,63.0,,1173.0,1.0,1.0,79.0,385.0
it_isdt-ud-dev,564,0,724,14.0,2.0,6.0,,4.0,,,,,,,3.0,617.0,,2.0,,52.0,,,2.0,22.0
ro_art-ud-test,50,0,13,,,5.0,,,,,,,,,,1.0,,1.0,,6.0,,,,
id_csui-ud-test,374,0,127,2.0,,,,,,,,,,,,65.0,,,,60.0,,,,
id_csui-ud-train,656,0,241,3.0,4.0,,1.0,,,,,,,,,120.0,,1.0,,112.0,,,,
it_partut-ud-dev,156,0,181,5.0,,2.0,,,,,,,,,,161.0,,,,7.0,,,,6.0
it_partut-ud-test,153,0,254,9.0,,1.0,,1.0,,,,,,,,228.0,,,,10.0,,,,5.0
it_partut-ud-train,1781,0,3273,92.0,17.0,7.0,,12.0,,,,,,,7.0,2823.0,1.0,,1.0,225.0,,,13.0,75.0
it_twittiro-ud-test,142,0,111,4.0,1.0,2.0,,,,,,,,,,84.0,,,1.0,13.0,,1.0,2.0,3.0
it_twittiro-ud-train,1138,0,862,20.0,4.0,7.0,1.0,1.0,,,1.0,1.0,,,5.0,677.0,3.0,5.0,3.0,83.0,1.0,11.0,3.0,36.0
it_twittiro-ud-dev,144,0,114,1.0,1.0,,,,,2.0,,,1.0,,1.0,86.0,,,,12.0,,1.0,1.0,8.0
it_markit-ud-test,340,0,466,40.0,1.0,4.0,,8.0,,,,,3.0,1.0,2.0,356.0,,,1.0,28.0,,,3.0,19.0
it_markit-ud-train,611,0,1014,61.0,1.0,12.0,,13.0,,,,,16.0,1.0,,790.0,1.0,1.0,,88.0,,,1.0,29.0
it_markit-ud-dev,341,0,508,33.0,7.0,4.0,,6.0,,,,,4.0,,1.0,409.0,,1.0,,33.0,,,1.0,9.0
it_postwita-ud-train,5368,0,3354,79.0,24.0,61.0,1.0,26.0,,1.0,1.0,,10.0,,13.0,2560.0,5.0,6.0,3.0,381.0,3.0,28.0,31.0,121.0
it_postwita-ud-dev,670,0,433,10.0,3.0,12.0,,3.0,,2.0,,,1.0,,2.0,334.0,,,,44.0,,2.0,,20.0
it_postwita-ud-test,674,0,422,13.0,4.0,10.0,,5.0,,,,,,,3.0,304.0,1.0,,1.0,56.0,,3.0,5.0,17.0
it_vit-ud-train,8277,0,14942,334.0,50.0,68.0,2.0,315.0,1.0,,,,,127.0,19.0,12946.0,4.0,71.0,,886.0,,8.0,39.0,72.0
it_vit-ud-test,1067,0,1480,28.0,8.0,13.0,,42.0,,,,,,6.0,2.0,1231.0,,2.0,,135.0,,2.0,5.0,6.0
it_vit-ud-dev,743,0,2356,26.0,6.0,3.0,,17.0,,,,,,7.0,2.0,2155.0,,6.0,,133.0,,,,1.0
it_parlamint-ud-test,375,0,623,32.0,,3.0,,13.0,,,,,,,4.0,498.0,,2.0,1.0,43.0,,,3.0,24.0
it_parlamint-ud-train,326,0,577,29.0,,3.0,,9.0,,,,,,,1.0,463.0,,1.0,1.0,45.0,,,1.0,24.0
