Treebank,Number of Sentences,Failures,Total,advcl,iobj,nmod,nsubj,nummod,obj,obl,parataxis,root
ro_nonstandard-ud-test,1052,0,2,,,2,,,,,,
ro_nonstandard-ud-dev,1052,0,4,,,3,,,,1.0,,
ro_nonstandard-ud-train,24121,0,123,1.0,,66,1.0,,,52.0,1.0,2.0
ro_simonero-ud-test,491,0,29,,,28,,,,1.0,,
ro_simonero-ud-train,3747,0,201,,,168,3.0,2.0,,28.0,,
ro_simonero-ud-dev,443,0,24,,,20,,,,3.0,,1.0
ro_rrt-ud-test,729,0,19,,,16,,,,3.0,,
ro_rrt-ud-train,8043,0,183,,1.0,158,,3.0,1.0,19.0,,1.0
ro_rrt-ud-dev,752,0,15,,,14,,,,1.0,,
ca_ancora-ud-train,13123,0,1,,,1,,,,,,
