Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,cc,ccomp,compound,cop,csubj,dep,discourse,expl,fixed,flat,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,vocative,xcomp
sl_ssj-ud-test,1282,0,58,,,,1.0,,,,,,,,,,,,,,13.0,1.0,,,42.0,1.0,,,,,,
sl_ssj-ud-dev,1250,0,64,,,,2.0,,,,,,,,,,,,,,18.0,1.0,,1.0,40.0,2.0,,,,,,
sl_ssj-ud-train,10903,0,532,,,,22.0,8.0,,,,,,,,,,,1.0,,173.0,7.0,,3.0,299.0,14.0,3.0,,,2.0,,
sga_dipsgg-ud-test,64,0,10,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,7.0,,
pl_pdb-ud-test,2215,0,328,,,1.0,,,,,,,,,,,,,,,69.0,,,,258.0,,,,,,,
pl_pdb-ud-train,17722,0,2786,,1.0,6.0,4.0,,,1.0,,,,,,,,,,,632.0,3.0,,,2115.0,1.0,10.0,,,13.0,,
pl_pdb-ud-dev,2215,0,375,,,1.0,1.0,,,,,,,,,,,,,,86.0,,,,284.0,,2.0,,,,,1.0
hr_set-ud-dev,960,0,60,,2.0,,4.0,,,,,,,,,,,,,,8.0,,13.0,1.0,32.0,,,,,,,
hr_set-ud-train,6914,0,343,,,,29.0,6.0,,1.0,,,,,,,,2.0,,,60.0,4.0,29.0,2.0,204.0,1.0,4.0,,,1.0,,
hr_set-ud-test,1136,0,48,,,,1.0,1.0,,1.0,,,,,,,,,,,10.0,,3.0,,31.0,,,,,1.0,,
sk_snk-ud-dev,1060,0,67,,,,,,,,,,,,,,,,,,7.0,,,,60.0,,,,,,,
sk_snk-ud-test,1061,0,97,,,,,,,,,,,1.0,,,,,,,21.0,,1.0,,74.0,,,,,,,
sk_snk-ud-train,8483,0,484,,,,1.0,1.0,,,,,,5.0,,,,,,,42.0,,,,434.0,,,,,1.0,,
cs_pud-ud-test,1000,0,97,,,,,,,,1.0,,,,,,,,,,17.0,,,,79.0,,,,,,,
ga_twittirish-ud-dev,864,0,171,,4.0,2.0,,,,1.0,,,1.0,,,,,,,,50.0,1.0,1.0,,56.0,,12.0,,,19.0,1.0,23.0
ga_twittirish-ud-test,866,0,138,,2.0,1.0,,,,2.0,,,3.0,,,,,,,,28.0,2.0,,1.0,44.0,,15.0,,,20.0,,20.0
ga_twittirish-ud-train,866,0,154,,1.0,,1.0,,,,,,2.0,,,,,,,,39.0,2.0,,,43.0,,12.0,,,28.0,,26.0
vi_tuecl-ud-test,100,0,2,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
hsb_ufal-ud-test,623,0,43,,,,,,,,,,,,,,,,,,13.0,,1.0,2.0,27.0,,,,,,,
hsb_ufal-ud-train,23,0,4,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,
sr_set-ud-test,520,0,25,,,,2.0,,,,,,,,,,,,,,1.0,,,,22.0,,,,,,,
sr_set-ud-train,3328,0,144,,,1.0,8.0,1.0,,,,,,,,,,,,,17.0,,10.0,2.0,103.0,1.0,,,,,,1.0
sr_set-ud-dev,536,0,24,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,19.0,,,,,1.0,,
it_isdt-ud-train,13121,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
vi_vtb-ud-dev,1123,0,17,,3.0,10.0,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,
vi_vtb-ud-train,1400,0,10,,1.0,5.0,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,
vi_vtb-ud-test,800,0,5,,1.0,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
ga_idt-ud-train,4005,0,1125,,38.0,29.0,1.0,,,10.0,,,16.0,,,,,,,1.0,208.0,10.0,1.0,8.0,477.0,,7.0,,,72.0,,247.0
ga_idt-ud-test,454,0,98,,2.0,2.0,,,,2.0,,,,,,,,,,,22.0,3.0,,1.0,30.0,,1.0,,,16.0,,19.0
ga_idt-ud-dev,451,0,92,,4.0,4.0,,,,1.0,,,6.0,,,,,,,,10.0,,,1.0,29.0,,2.0,,,12.0,,23.0
cs_cltt-ud-dev,316,0,75,,,,,,,,,,,1.0,,,,,,,20.0,,,,54.0,,,,,,,
cs_cltt-ud-train,467,0,65,,,,,,,,,,,,,,,,,,26.0,,,,39.0,,,,,,,
cs_cltt-ud-test,338,0,44,,,,,,,,,,,,,,,,,,19.0,,,,25.0,,,,,,,
cs_fictree-ud-dev,1309,0,117,,,,,1.0,,,,,,1.0,,,,,,,3.0,,,,112.0,,,,,,,
cs_fictree-ud-train,10160,0,834,,,1.0,,4.0,,,,,,26.0,,,,,,,51.0,,,,750.0,,,,,2.0,,
cs_fictree-ud-test,1291,0,110,,,,,2.0,,,,,,2.0,,,,,,,4.0,,,,101.0,,,,,1.0,,
ca_ancora-ud-test,1846,0,2,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
ca_ancora-ud-train,13123,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_arcosg-ud-test,545,0,111,,1.0,,,,,,,,,,,,,,,,34.0,,,,68.0,,1.0,,,,,7.0
gd_arcosg-ud-train,3541,0,647,,9.0,,,,,1.0,,,,,,,,,,,134.0,,,,453.0,,,,1.0,2.0,,47.0
gd_arcosg-ud-dev,655,0,95,,1.0,,,,,,,,,,,,,,,,23.0,,,,65.0,,,,,1.0,,5.0
sl_sst-ud-train,4558,0,123,,,,4.0,5.0,,,,,,,,,,,,,18.0,1.0,1.0,,82.0,6.0,2.0,,1.0,3.0,,
sl_sst-ud-test,1041,0,21,,,,1.0,,,,,,,,,,,,,,2.0,,,,11.0,2.0,1.0,,,3.0,,1.0
sl_sst-ud-dev,505,0,19,,,,,,,1.0,,,,,,,,,,,8.0,,,,7.0,2.0,,,,1.0,,
cs_pdt-ud-test,10146,0,684,5.0,1.0,2.0,4.0,3.0,2.0,,,1.0,,10.0,1.0,1.0,,,,,150.0,,19.0,1.0,468.0,1.0,,8.0,,4.0,,3.0
cs_pdt-ud-dev,9270,0,628,2.0,2.0,1.0,3.0,11.0,,3.0,,,,8.0,,1.0,1.0,,,,138.0,,14.0,3.0,433.0,,1.0,3.0,,3.0,,1.0
cs_pdt-ud-train,68491,0,4880,18.0,12.0,11.0,22.0,17.0,6.0,15.0,2.0,,3.0,99.0,,1.0,1.0,,,2.0,1077.0,3.0,72.0,8.0,3425.0,1.0,,50.0,,20.0,,15.0
sga_dipwbg-ud-test,34,0,8,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,2.0,,
ga_cadhan-ud-test,193,0,58,,4.0,4.0,,,,,,,1.0,,,,,,,,6.0,,,,25.0,,7.0,,,8.0,,3.0
pl_pud-ud-test,1000,0,182,,1.0,,,,,,,,,,,,,,,,51.0,,,,129.0,,,,,,,1.0
cs_cac-ud-dev,603,0,29,,,,,,,,,,,,,,,,,,14.0,,,,15.0,,,,,,,
cs_cac-ud-train,23478,0,1987,1.0,1.0,,11.0,12.0,,,1.0,,,18.0,,,,,,,382.0,,39.0,,1514.0,,,,,8.0,,
cs_cac-ud-test,628,0,59,,,,,1.0,,,,,,,,,,,,,5.0,,5.0,,48.0,,,,,,,
pl_lfg-ud-test,1727,0,121,,,,,,,,,,,,,,,,,,7.0,,,,114.0,,,,,,,
pl_lfg-ud-train,13774,0,1039,,,,,,,,,,,,,,,,,,118.0,,,,921.0,,,,,,,
pl_lfg-ud-dev,1745,0,116,,,,,,,,,,,,,,,,,,9.0,,,,107.0,,,,,,,
cs_poetry-ud-test,297,0,16,,,,,,,,,,,,,,,,,,,,,,15.0,1.0,,,,,,
es_coser-ud-test,539,0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
