Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,mark,nmod,nsubj,nummod,obl,orphan,parataxis,root
it_old-ud-train,1748,0,11,,,,,,,,,10,1.0,,
it_old-ud-test,338,0,4,,,,,,,,,4,,,
it_valico-ud-test,398,0,5,,,,,,,,,5,,,
it_pud-ud-test,1000,0,39,,9.0,,,1.0,1.0,,,28,,,
it_isdt-ud-test,482,0,9,,,,,,1.0,,,8,,,
it_isdt-ud-train,13121,0,221,,4.0,,,,33.0,,6.0,176,,,2.0
it_isdt-ud-dev,564,0,6,,,,,,1.0,,,5,,,
it_partut-ud-test,153,0,8,,,,,,1.0,,,7,,,
it_partut-ud-train,1781,0,34,,,,,,6.0,,,28,,,
it_twittiro-ud-test,142,0,3,,,,,,,,,3,,,
it_twittiro-ud-train,1138,0,24,,,1.0,,,4.0,1.0,,18,,,
it_twittiro-ud-dev,144,0,2,,,,,,,,,2,,,
it_markit-ud-test,340,0,3,,,,,,,,,3,,,
it_markit-ud-train,611,0,8,,,,,,1.0,,,7,,,
it_markit-ud-dev,341,0,3,,,,,,2.0,,,1,,,
it_postwita-ud-train,5368,0,109,,1.0,,2.0,,19.0,1.0,,79,1.0,6.0,
it_postwita-ud-dev,670,0,13,,,,,,2.0,,,9,1.0,1.0,
it_postwita-ud-test,674,0,12,,,,,,2.0,,,9,,1.0,
it_vit-ud-train,8277,0,190,1.0,33.0,1.0,,,32.0,,5.0,118,,,
it_vit-ud-test,1067,0,18,,,,,,2.0,,,15,,,1.0
it_vit-ud-dev,743,0,25,1.0,3.0,,,,3.0,,,18,,,
it_parlamint-ud-test,375,0,7,,,,,,,,,7,,,
it_parlamint-ud-train,326,0,8,,,,,,,,,8,,,
