Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,csubj,dep,discourse,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
pt_porttinari-ud-train,5893,0,3552,38.0,30.0,5.0,1.0,13.0,2.0,,,3.0,,,1.0,944.0,,2.0,,2383,6.0,5.0,100.0,19.0
pt_porttinari-ud-test,1683,0,1026,13.0,9.0,1.0,,7.0,,,,3.0,,,,268.0,,,,680,2.0,3.0,32.0,8.0
pt_porttinari-ud-dev,842,0,500,3.0,4.0,1.0,,5.0,,,,2.0,,,,115.0,,,,359,,,10.0,1.0
pt_pud-ud-test,1000,0,703,2.0,,,3.0,,2.0,,2.0,,3.0,,,177.0,,,2.0,476,,1.0,24.0,11.0
gl_ctg-ud-train,2272,0,1,,,,,,,,,,,,,,,,,1,,,,
pt_petrogold-ud-train,7170,0,5678,10.0,29.0,2.0,3.0,4.0,1.0,,,,,,1.0,1207.0,6.0,32.0,,4233,4.0,2.0,126.0,18.0
pt_petrogold-ud-test,1039,0,833,3.0,14.0,,,,,,,,,,,181.0,,3.0,,614,,1.0,12.0,5.0
pt_petrogold-ud-dev,737,0,628,3.0,12.0,,4.0,,,,,,,,,141.0,,2.0,,452,1.0,,9.0,4.0
pt_gsd-ud-dev,1204,0,962,1.0,,,,2.0,,,,1.0,,,,890.0,,,2.0,64,,,2.0,
pt_gsd-ud-test,1200,0,948,,1.0,,,1.0,,1.0,,,,,,834.0,,,,108,,,3.0,
pt_gsd-ud-train,9616,0,7626,2.0,3.0,1.0,1.0,1.0,,,,,,,,6612.0,,,24.0,957,,2.0,21.0,2.0
pt_cintil-ud-test,3840,0,791,,2.0,1.0,,10.0,,36.0,,,,,,,2.0,,2.0,688,,12.0,35.0,3.0
pt_cintil-ud-dev,3840,0,461,,4.0,,,2.0,1.0,6.0,,,,,,,,,1.0,380,,,66.0,1.0
pt_cintil-ud-train,30720,0,3962,,12.0,3.0,5.0,8.0,,52.0,,,,,,,10.0,,1.0,2924,,21.0,921.0,5.0
pt_bosque-ud-dev,1172,0,725,1.0,4.0,1.0,1.0,,,,,,5.0,,,235.0,,,35.0,421,1.0,,19.0,2.0
pt_bosque-ud-test,1167,0,815,2.0,6.0,3.0,1.0,5.0,,,,,3.0,,,198.0,,1.0,24.0,540,,3.0,22.0,7.0
pt_bosque-ud-train,7018,0,4674,3.0,17.0,8.0,6.0,14.0,2.0,,,,28.0,1.0,1.0,1240.0,1.0,2.0,195.0,3048,,6.0,90.0,12.0
myu_tudet-ud-test,158,0,2,,,,,,,,,,,,,,,,,2,,,,
