Treebank,Number of Sentences,Failures,Total,acl,advcl,ccomp,dep,nmod,nsubj,obl,root
en_partut-ud-train,1781,0,4,,1.0,,,,,3.0,
en_gum-ud-train,9521,0,9,,,,,8.0,,1.0,
en_gum-ud-dev,1341,0,2,,,,,1.0,,1.0,
en_lines-ud-train,3176,0,2,,1.0,,,1.0,,,
en_lines-ud-dev,1032,0,1,1.0,,,,,,,
en_lines-ud-test,1035,0,1,,,,,,,1.0,
en_ewt-ud-dev,2001,0,1,,,,,1.0,,,
en_ewt-ud-train,12544,0,22,,2.0,,,10.0,,10.0,
de_lit-ud-test,1920,0,1,,,,,1.0,,,
pcm_nsc-ud-train,7279,0,12,,7.0,1.0,1.0,1.0,,1.0,1.0
en_gentle-ud-test,1334,0,3,,,,,,1.0,2.0,
en_pud-ud-test,1000,0,1,,,,,,,1.0,
