Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,cc,ccomp,compound,dep,discourse,dislocated,flat,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,xcomp
en_partut-ud-dev,156,0,23,,1.0,,,,,,,,,,,,,7.0,,,,15.0,,,,,
en_partut-ud-train,1781,0,365,,8.0,13.0,,,,1.0,,,,,,,,154.0,,2.0,,181.0,3.0,,,2.0,1.0
en_partut-ud-test,153,0,31,,1.0,,,,,,,,,,,,,11.0,,,,19.0,,,,,
no_bokmaal-ud-dev,2409,0,449,,31.0,81.0,11.0,3.0,,,,,,,,,,134.0,1.0,,2.0,171.0,,,,11.0,4.0
no_bokmaal-ud-test,1939,0,381,,21.0,62.0,12.0,,,,,,,,,,,140.0,3.0,,,140.0,,,,2.0,1.0
no_bokmaal-ud-train,15696,0,2744,,198.0,594.0,70.0,2.0,,4.0,,,,1.0,,,,852.0,8.0,,10.0,972.0,,,,20.0,13.0
es_gsd-ud-train,14187,0,5,,,,,,,,,,,,,,,4.0,,,,1.0,,,,,
sga_dipsgg-ud-test,64,0,2,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
sv_talbanken-ud-train,4303,0,1,,,,,,,,,,,,,,,1.0,,,,,,,,,
no_nynorsk-ud-dev,1890,0,351,,31.0,74.0,10.0,,,,,,,,,,,130.0,,,2.0,100.0,,,,1.0,3.0
no_nynorsk-ud-test,1511,0,307,,14.0,48.0,8.0,3.0,,,,,,,,,,125.0,1.0,,,105.0,,,,1.0,2.0
no_nynorsk-ud-train,14174,0,2892,,245.0,532.0,74.0,3.0,,4.0,,,,,,,,1075.0,8.0,,10.0,911.0,,,,18.0,12.0
ga_twittirish-ud-dev,864,0,7,,,,,,,,1.0,,,,,,,1.0,,,,4.0,,1.0,,,
ga_twittirish-ud-test,866,0,9,,,,,,,,,,,,,,,4.0,,,,5.0,,,,,
ga_twittirish-ud-train,866,0,4,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0
en_atis-ud-test,586,0,33,,,,,,,,,,,,,1.0,,19.0,,,4.0,9.0,,,,,
en_atis-ud-train,4274,0,220,,,,1.0,,,2.0,,,,1.0,,,,131.0,2.0,,9.0,61.0,,,,13.0,
en_atis-ud-dev,572,0,37,,,,,,,,,,,,,,,25.0,,,,10.0,,,,2.0,
id_gsd-ud-train,4482,0,2,,,,,,,,,,,,,,,2.0,,,,,,,,,
sv_lines-ud-train,3176,0,0,,,,,,,,,,,,,,,,,,,,,,,,
en_gum-ud-train,9521,0,988,1.0,3.0,2.0,,,,1.0,,1.0,,,,,,306.0,,,,654.0,,2.0,1.0,17.0,
en_gum-ud-test,1285,0,179,1.0,1.0,1.0,,,,,,,,,,,,76.0,,,,93.0,,1.0,,6.0,
en_gum-ud-dev,1341,0,125,,2.0,1.0,,,,,,,,,,,,27.0,,,,89.0,,,,5.0,1.0
it_isdt-ud-test,482,0,2,,,,,,,,,,,,,,,2.0,,,,,,,,,
it_isdt-ud-train,13121,0,1,,,,,,,,,,,,,,,1.0,,,,,,,,,
en_lines-ud-train,3176,0,367,,12.0,6.0,7.0,,,7.0,1.0,,1.0,2.0,,,,123.0,1.0,,1.0,201.0,,,,2.0,3.0
en_lines-ud-dev,1032,0,108,,4.0,10.0,,,,2.0,,,,1.0,,,,36.0,,,,54.0,,1.0,,,
en_lines-ud-test,1035,0,104,,1.0,4.0,1.0,,,1.0,,,1.0,,,,1.0,28.0,,,,64.0,,,,2.0,1.0
en_ewt-ud-test,2077,0,177,,,,,,,,,,,,,,,58.0,,,,114.0,,1.0,,4.0,
en_ewt-ud-dev,2001,0,210,,1.0,1.0,,,,,1.0,,,,,,,82.0,,,,116.0,,,,9.0,
en_ewt-ud-train,12544,0,1678,,21.0,8.0,,,1.0,5.0,,,,,,,,557.0,,,2.0,1061.0,,2.0,,18.0,3.0
da_ddt-ud-train,4383,0,769,,16.0,140.0,25.0,,,1.0,22.0,,,,1.0,,,255.0,,4.0,,294.0,1.0,,,6.0,4.0
da_ddt-ud-test,565,0,92,,2.0,23.0,6.0,,,,4.0,,,,,,,21.0,,1.0,,32.0,,,,3.0,
da_ddt-ud-dev,564,0,103,,2.0,17.0,3.0,,,,2.0,,,,,,,43.0,,2.0,1.0,32.0,,,,1.0,
it_partut-ud-train,1781,0,1,,,,,,,,,,,,,,,1.0,,,,,,,,,
pcm_nsc-ud-dev,990,0,152,,1.0,4.0,2.0,,,,,,,1.0,,,,5.0,,,1.0,128.0,,1.0,5.0,1.0,3.0
pcm_nsc-ud-train,7279,0,1393,,5.0,14.0,33.0,1.0,,9.0,1.0,4.0,1.0,20.0,,,,133.0,,,2.0,1074.0,,2.0,12.0,30.0,52.0
pcm_nsc-ud-test,972,0,196,,1.0,,3.0,1.0,,1.0,,1.0,,1.0,,,,17.0,,,1.0,152.0,,1.0,4.0,8.0,5.0
sga_dipwbg-ud-test,34,0,1,,,1.0,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,
en_gentle-ud-test,1334,0,120,,,,,,,,,,,,,,1.0,30.0,,,,80.0,2.0,3.0,,4.0,
en_pud-ud-test,1000,0,127,,1.0,,,,,,,,,,1.0,,,52.0,,,,72.0,,,,1.0,
fr_sequoia-ud-train,2231,0,1,,,,,,,,,,,,,,,1.0,,,,,,,,,
