Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,ccomp,compound,dep,dislocated,list,mark,nmod,nummod,obl,orphan,parataxis,reparandum,root,vocative,xcomp
en_partut-ud-dev,156,0,11,,,,,,,,,,,,2.0,1.0,8.0,,,,,,
en_partut-ud-train,1781,0,152,,,,1.0,,1.0,,,,,,53.0,2.0,95.0,,,,,,
en_partut-ud-test,153,0,6,,,,,,,,,,,,2.0,,4.0,,,,,,
ga_twittirish-ud-dev,864,0,3,,,,,,,,,,,,2.0,,1.0,,,,,,
ga_twittirish-ud-test,866,0,3,,,,,,,,,,,,2.0,,1.0,,,,,,
ga_twittirish-ud-train,866,0,6,,,,,,,1.0,,,,,3.0,,2.0,,,,,,
en_atis-ud-test,586,0,425,,,,,,,,,1.0,,,316.0,1.0,102.0,,,,5.0,,
en_atis-ud-train,4274,0,3189,,1.0,,1.0,,,,,1.0,4.0,,2531.0,,636.0,,,,15.0,,
en_atis-ud-dev,572,0,423,,,,,,,,,,,,340.0,,79.0,,,,4.0,,
en_gum-ud-train,9521,0,575,1.0,3.0,7.0,1.0,,1.0,,,,,,175.0,,377.0,1.0,,,9.0,,
en_gum-ud-test,1285,0,105,,1.0,,,2.0,,,,,,,36.0,,64.0,,,,2.0,,
en_gum-ud-dev,1341,0,79,,,1.0,1.0,,,,,,,,18.0,,56.0,,,,3.0,,
it_isdt-ud-train,13121,0,1,,,,,,,,,,,,1.0,,,,,,,,
en_lines-ud-train,3176,0,196,,1.0,2.0,7.0,2.0,1.0,,,,,,58.0,,124.0,,,,1.0,,
en_lines-ud-dev,1032,0,70,,,,4.0,,,,,,,,18.0,,48.0,,,,,,
en_lines-ud-test,1035,0,55,,,1.0,1.0,,,,,,,,14.0,,37.0,,,,1.0,,1.0
en_ewt-ud-test,2077,0,80,,3.0,,,,3.0,,,,,,28.0,,44.0,,,,2.0,,
en_ewt-ud-dev,2001,0,72,,1.0,,,,,,,,,,23.0,,45.0,,1.0,,2.0,,
en_ewt-ud-train,12544,0,627,,6.0,8.0,1.0,,2.0,,,,1.0,,194.0,1.0,391.0,,3.0,,19.0,,1.0
pcm_nsc-ud-dev,990,0,44,,2.0,7.0,3.0,,,,,,,,3.0,,23.0,,1.0,3.0,2.0,,
pcm_nsc-ud-train,7279,0,173,,4.0,3.0,14.0,,6.0,,1.0,1.0,,2.0,10.0,,120.0,,,3.0,9.0,,
pcm_nsc-ud-test,972,0,20,,2.0,,5.0,,,,,,,,,,11.0,,,1.0,1.0,,
en_pronouns-ud-test,285,0,5,,,,,,,,,,,,,,,,,,5.0,,
it_postwita-ud-train,5368,0,1,,,,,,,,,,,,,,,,,,,1.0,
en_gentle-ud-test,1334,0,84,,,,,,,1.0,,,,,32.0,,46.0,1.0,,,4.0,,
en_pud-ud-test,1000,0,88,,1.0,1.0,,,,,,,,,33.0,,53.0,,,,,,
