Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,dep,dislocated,flat,nmod,nsubj,obj,obl,orphan,parataxis,reparandum,root,xcomp
de_hdt-ud-test,18459,0,3115,1.0,,1.0,,2.0,,,,1911,,94.0,1068,,,,2.0,36.0
de_hdt-ud-train,153035,0,25312,4.0,3.0,34.0,1.0,2.0,,,,15850,,772.0,8361,,,,33.0,252.0
de_hdt-ud-dev,18434,0,2839,,,3.0,,,,,,1735,,93.0,966,,,,1.0,41.0
de_pud-ud-test,1000,0,125,,,3.0,,,,,1.0,49,,,72,,,,,
de_lit-ud-test,1920,0,171,,,2.0,,,,,,72,2.0,2.0,84,6.0,,,2.0,1.0
de_gsd-ud-train,13814,0,1382,1.0,1.0,3.0,,,1.0,,,803,,1.0,553,1.0,,,12.0,6.0
de_gsd-ud-dev,799,0,88,,,,,,,,,49,,,39,,,,,
de_gsd-ud-test,977,0,111,,,,,,,,,63,1.0,,44,,,,,3.0
qtd_sagt-ud-test,805,0,19,,1.0,,1.0,,,,,2,,1.0,12,,,1.0,,1.0
qtd_sagt-ud-dev,801,0,20,,1.0,,,,,1.0,,3,1.0,2.0,12,,,,,
qtd_sagt-ud-train,578,0,18,,,,,3.0,,,,2,,1.0,7,,1.0,1.0,3.0,
