Treebank,Number of Sentences,Failures,Total,acl,advcl,ccomp,compound,nmod,nsubj,obj,obl,parataxis,root,xcomp
is_pud-ud-test,1000,0,22,,,,,11.0,,,11,,,
fo_oft-ud-test,1208,0,30,,,,,22.0,,,8,,,
is_gc-ud-test,540,0,22,,,,,,,,22,,,
is_gc-ud-train,3960,0,111,,,,,,,,110,,1.0,
is_gc-ud-dev,500,0,20,,,,,,,,20,,,
is_icepahc-ud-dev,4865,0,138,1.0,6.0,2.0,,,,,122,,7.0,
is_icepahc-ud-train,34007,0,639,18.0,8.0,5.0,1.0,,2.0,1.0,564,1.0,37.0,2.0
is_icepahc-ud-test,5157,0,176,8.0,11.0,2.0,,,2.0,,140,,11.0,2.0
is_modern-ud-dev,394,0,7,,1.0,,,,,,6,,,
is_modern-ud-train,2703,0,57,1.0,,1.0,,,,,52,1.0,2.0,
is_modern-ud-test,438,0,11,,,1.0,,,,,10,,,
