Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,cc,ccomp,compound,csubj,dep,discourse,dislocated,fixed,flat,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,xcomp
en_partut-ud-dev,156,0,50,,,2.0,,,,1.0,,,,,,,,,7.0,,,,37.0,,,,,3.0,
en_partut-ud-train,1781,0,900,,6.0,39.0,1.0,,,2.0,,1.0,,,,,,,221.0,,13.0,1.0,590.0,6.0,,,,19.0,1.0
en_partut-ud-test,153,0,71,,1.0,1.0,,,,1.0,,,,,,,,,10.0,,1.0,,56.0,,,,,1.0,
es_gsd-ud-test,426,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
es_gsd-ud-train,14187,0,4,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,
de_hdt-ud-test,18459,0,6240,,9.0,5.0,5.0,,,7.0,,,,,,,,,1874.0,,,65.0,4193.0,,2.0,,,74.0,6.0
de_hdt-ud-train,153035,0,57490,,63.0,32.0,34.0,,,73.0,,13.0,,,,,,,19675.0,,,625.0,36321.0,,34.0,,,570.0,50.0
de_hdt-ud-dev,18434,0,6590,,11.0,5.0,9.0,1.0,,5.0,,1.0,,,,,,,2418.0,,,70.0,4010.0,,2.0,,,55.0,3.0
sv_talbanken-ud-dev,504,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
sv_talbanken-ud-train,4303,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
es_ancora-ud-train,14287,0,6,,,,,,,,,,,,,,3.0,,2.0,,,1.0,,,,,,,
es_ancora-ud-dev,1654,0,2,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,
no_nynorsk-ud-train,14174,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
la_circse-ud-test,1263,0,204,,,7.0,,,,1.0,,,,,,,,,2.0,,,1.0,180.0,5.0,,,,8.0,
la_perseus-ud-test,939,0,137,,,1.0,,,,,,,,,,,,,10.0,,,,125.0,,,,,1.0,
la_perseus-ud-train,1334,0,284,,,2.0,,,,,,,,,,,1.0,,18.0,,,,263.0,,,,,,
de_pud-ud-test,1000,0,514,,,,,,,,,,,,,,,,128.0,,,,385.0,1.0,,,,,
pt_gsd-ud-train,9616,0,2,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
ga_twittirish-ud-dev,864,0,6,,,,,,,,,,,,,,,,1.0,,,,2.0,,1.0,,,,2.0
ga_twittirish-ud-test,866,0,19,,,,,,,1.0,,,,,,,,,5.0,,,,9.0,,1.0,,,1.0,2.0
ga_twittirish-ud-train,866,0,9,,,,,,,1.0,,,,,,,,,4.0,,,,2.0,,1.0,,,,1.0
ro_tuecl-ud-test,210,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
it_old-ud-train,1748,0,733,,9.0,17.0,60.0,,,4.0,,,,,,,5.0,,19.0,,,2.0,598.0,10.0,3.0,,,6.0,
it_old-ud-dev,316,0,152,,1.0,2.0,17.0,,,,,,,,,,3.0,,3.0,,,,123.0,3.0,,,,,
it_old-ud-test,338,0,162,,2.0,5.0,17.0,,,,,,,,,,1.0,,9.0,,,1.0,123.0,3.0,,,,1.0,
la_llct-ud-dev,850,0,560,,8.0,2.0,1.0,,,,,,,,,,,,69.0,,,,472.0,,,,,7.0,1.0
la_llct-ud-test,884,0,500,,4.0,1.0,1.0,,,1.0,,,,,1.0,,,,72.0,,,,407.0,,,,,13.0,
la_llct-ud-train,7289,0,5150,,54.0,37.0,11.0,,,3.0,,,,,,,,,612.0,,,,4388.0,8.0,,,,35.0,2.0
es_pud-ud-test,1000,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
en_atis-ud-test,586,0,97,,,,,,,,,,,,,,,,40.0,,,2.0,55.0,,,,,,
en_atis-ud-train,4274,0,722,,1.0,,,,,2.0,,,,,2.0,,,,285.0,1.0,,2.0,424.0,,1.0,,,4.0,
en_atis-ud-dev,572,0,84,,,,,,,,,,,,,,,,39.0,,,,45.0,,,,,,
it_valico-ud-test,398,0,57,,,1.0,,,,1.0,,,,,,,,,7.0,,,,48.0,,,,,,
af_afribooms-ud-train,1315,0,551,,,,,,,,,,8.0,,,,1.0,,167.0,1.0,,4.0,356.0,,,,,14.0,
af_afribooms-ud-dev,194,0,57,,,,,,,,,,1.0,,,,,,12.0,,,,44.0,,,,,,
af_afribooms-ud-test,425,0,197,,,,,,,,,,2.0,,,,2.0,,55.0,,,1.0,134.0,,,,,3.0,
it_pud-ud-test,1000,0,583,,4.0,2.0,3.0,,,1.0,,,,,,,,,115.0,,,,449.0,2.0,1.0,,,6.0,
la_proiel-ud-test,1260,0,356,,11.0,14.0,16.0,2.0,,3.0,,,1.0,,,,,,11.0,,,,270.0,13.0,,,,11.0,4.0
la_proiel-ud-dev,1233,0,383,,12.0,20.0,8.0,4.0,,4.0,,1.0,,,,,,,11.0,,,,297.0,10.0,,,,12.0,4.0
la_proiel-ud-train,16196,0,4743,,99.0,219.0,107.0,70.0,,54.0,,5.0,9.0,,6.0,,2.0,,181.0,20.0,,1.0,3640.0,106.0,5.0,,,164.0,55.0
pt_cintil-ud-test,3840,0,2,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
pt_cintil-ud-train,30720,0,2,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
fr_gsd-ud-train,14450,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
