Treebank,Number of Sentences,Failures,Total,advcl,advmod,nmod,nummod,obj,obl,root
tr_pud-ud-test,1000,0,6,,,,,,6.0,
tr_atis-ud-train,4274,0,3,,,1.0,,,2.0,
tr_kenet-ud-test,1643,0,1,,,,,,1.0,
tr_kenet-ud-train,15398,0,7,,,1.0,,1.0,4.0,1.0
tr_gb-ud-test,2880,0,2,1.0,,,,,1.0,
ota_boun-ud-test,400,0,1,,,,,,1.0,
tr_tourism-ud-dev,2166,0,1,1.0,,,,,,
tr_imst-ud-train,3435,0,5,,1.0,,1.0,,3.0,
tr_imst-ud-dev,1100,0,1,,,,,,1.0,
tr_boun-ud-dev,979,0,3,1.0,,,,,2.0,
tr_boun-ud-train,7803,0,15,,3.0,,,,12.0,
tr_penn-ud-dev,622,0,1,,,1.0,,,,
tr_penn-ud-test,924,0,3,1.0,,2.0,,,,
tr_penn-ud-train,14850,0,25,1.0,,10.0,,,14.0,
