Treebank,Number of Sentences,Failures,Total,acl,advcl,appos,csubj,dislocated,nmod,nsubj,obl,orphan,parataxis,reparandum,root
sl_ssj-ud-test,1282,0,101,,,,,,50.0,,51,,,,
sl_ssj-ud-dev,1250,0,85,,,1.0,,,45.0,,38,1.0,,,
sl_ssj-ud-train,10903,0,625,,,4.0,,,304.0,,312,5.0,,,
hr_set-ud-dev,960,0,94,1.0,,,,,56.0,,37,,,,
hr_set-ud-train,6914,0,478,1.0,1.0,,,,308.0,1.0,166,,1.0,,
hr_set-ud-test,1136,0,82,,,,,,52.0,,29,,1.0,,
sr_set-ud-test,520,0,32,,,,,,22.0,,10,,,,
sr_set-ud-train,3328,0,227,1.0,,,,,139.0,,86,,1.0,,
sr_set-ud-dev,536,0,50,,,,,,37.0,,13,,,,
ltg_cairo-ud-test,20,0,1,,,,,,,,1,,,,
sl_sst-ud-train,4558,0,102,,,3.0,1.0,,29.0,,58,2.0,3.0,1.0,5.0
sl_sst-ud-test,1041,0,25,,,,,1.0,4.0,,17,,,,3.0
sl_sst-ud-dev,505,0,19,,,,,,3.0,,15,,,,1.0
