Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,discourse,flat,iobj,list,nmod,nsubj,nummod,obj,obl,parataxis,reparandum,root,xcomp
tr_pud-ud-test,1000,0,119,,43.0,,1.0,,,,,,,33.0,,,,13.0,,,,29.0
tr_atis-ud-dev,572,0,20,,,,,,,,,,,16.0,,,,1.0,,,,3.0
tr_atis-ud-train,4274,0,109,,,,,,,,,,,89.0,,,1.0,13.0,,,,6.0
tr_atis-ud-test,586,0,16,,,,,,,,,,,14.0,,,,2.0,,,,
tr_kenet-ud-dev,1646,0,88,,20.0,,,1.0,,,,,,1.0,,,,64.0,,,,2.0
tr_kenet-ud-test,1643,0,88,,34.0,,,,,,,,,1.0,1.0,,,36.0,,,,16.0
tr_kenet-ud-train,15398,0,487,1.0,166.0,,,16.0,2.0,,,,,16.0,1.0,,6.0,246.0,3.0,,5.0,25.0
az_tuecl-ud-test,108,0,2,,1.0,,,,,,,,,,,,,,,,1.0,
tr_framenet-ud-test,205,0,10,,3.0,,,,,,,,,2.0,,,,5.0,,,,
tr_framenet-ud-train,2288,0,122,,66.0,,,,1.0,,,,,5.0,,,,49.0,1.0,,,
tr_framenet-ud-dev,205,0,11,,3.0,,,,,,,,,1.0,,,1.0,6.0,,,,
tr_gb-ud-test,2880,0,51,,28.0,,,,,,,,,1.0,,,,15.0,,,7.0,
ota_boun-ud-train,114,0,11,,5.0,,,,,,,,,,,,,6.0,,,,
ota_boun-ud-test,400,0,33,,15.0,,,,1.0,,,,,,,,,17.0,,,,
qtd_sagt-ud-test,805,0,35,,11.0,,,,,,,,,1.0,,,,16.0,3.0,,3.0,1.0
qtd_sagt-ud-dev,801,0,62,1.0,30.0,,,2.0,,,,,,3.0,,,1.0,16.0,1.0,2.0,4.0,2.0
qtd_sagt-ud-train,578,0,38,,9.0,2.0,,,,,,,,,,,,20.0,,1.0,5.0,1.0
tr_tourism-ud-train,15473,0,381,,71.0,6.0,,1.0,,1.0,,,1.0,122.0,2.0,1.0,8.0,142.0,4.0,,21.0,1.0
tr_tourism-ud-dev,2166,0,54,,44.0,,,,,,,,,1.0,,,,2.0,,,7.0,
tr_tourism-ud-test,2191,0,31,,13.0,,,,,,,,,4.0,,,,8.0,,,6.0,
tr_imst-ud-train,3435,0,152,7.0,34.0,1.0,,,,,,1.0,,62.0,,1.0,,42.0,,,4.0,
tr_imst-ud-dev,1100,0,37,3.0,6.0,,,,,,,,,19.0,,,,8.0,,,1.0,
tr_imst-ud-test,1100,0,34,1.0,10.0,,,,,,,,,15.0,,,,8.0,,,,
tr_boun-ud-dev,979,0,51,1.0,22.0,,,,,,,,,7.0,,,,20.0,,,1.0,
tr_boun-ud-test,979,0,58,1.0,25.0,,,1.0,,,,,,2.0,,,,27.0,,,2.0,
tr_boun-ud-train,7803,0,455,9.0,220.0,2.0,1.0,,,,,,,23.0,,,1.0,188.0,3.0,,8.0,
tr_penn-ud-dev,622,0,50,,15.0,,,,,,,,,16.0,,,,19.0,,,,
tr_penn-ud-test,924,0,71,,14.0,,,,,,,,,7.0,1.0,,1.0,35.0,,,13.0,
tr_penn-ud-train,14850,0,1324,2.0,188.0,9.0,4.0,2.0,1.0,,24.0,,,321.0,,,1.0,739.0,,,5.0,28.0
