Treebank,Number of Sentences,Failures,Total,advmod,discourse,flat,iobj,nmod,nsubj,nummod,obj,obl,root
tr_pud-ud-test,1000,0,3,,,3.0,,,,,,,
az_tuecl-ud-test,108,0,1,,,,,1.0,,,,,
tr_gb-ud-test,2880,0,55,,,,,53.0,,1.0,,1.0,
qtd_sagt-ud-test,805,0,9,1.0,,,,5.0,,,,3.0,
qtd_sagt-ud-dev,801,0,8,,,,,3.0,2.0,,,3.0,
qtd_sagt-ud-train,578,0,9,,,,,5.0,,,,4.0,
tr_imst-ud-train,3435,0,30,,,,1.0,11.0,10.0,,4.0,3.0,1.0
tr_imst-ud-dev,1100,0,10,1.0,,,,4.0,1.0,,3.0,,1.0
tr_imst-ud-test,1100,0,3,,,,1.0,1.0,1.0,,,,
tr_boun-ud-dev,979,0,1,,,,,,,,,1.0,
tr_boun-ud-train,7803,0,8,3.0,1.0,,,4.0,,,,,
