Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
sga_dipsgg-ud-test,64,0,2,,1.0,,,,,,,,1.0,,,,,,,,
ro_nonstandard-ud-test,1052,0,95,,3.0,,1.0,,,,,,18.0,,1.0,,72.0,,,,
ro_nonstandard-ud-dev,1052,0,104,,2.0,1.0,,1.0,1.0,,,,13.0,,,,84.0,1.0,1.0,,
ro_nonstandard-ud-train,24121,0,5564,24.0,38.0,10.0,46.0,6.0,1.0,,2.0,6.0,635.0,8.0,29.0,5.0,4702.0,3.0,2.0,37.0,10.0
ro_simonero-ud-test,491,0,212,,,,,,,,,,97.0,,12.0,,103.0,,,,
ro_simonero-ud-train,3747,0,1671,1.0,6.0,8.0,5.0,4.0,,,,,581.0,3.0,41.0,2.0,1013.0,,,5.0,2.0
ro_simonero-ud-dev,443,0,292,,,2.0,1.0,,,,,,135.0,,5.0,,149.0,,,,
ro_tuecl-ud-test,210,0,50,,1.0,,,,,,,,2.0,,3.0,,41.0,2.0,,1.0,
ro_art-ud-test,50,0,3,,,,,,,,,,,,,,3.0,,,,
qaf_arabizi-ud-train,1003,0,2,,,,,,,,,,1.0,1.0,,,,,,,
ro_rrt-ud-test,729,0,232,1.0,,2.0,,,,,1.0,,45.0,,7.0,,175.0,,,,1.0
ro_rrt-ud-train,8043,0,2160,6.0,12.0,19.0,7.0,14.0,,2.0,12.0,3.0,409.0,3.0,32.0,,1616.0,,,23.0,2.0
ro_rrt-ud-dev,752,0,199,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,,34.0,,1.0,,148.0,,,4.0,2.0
it_twittiro-ud-dev,144,0,1,,,,,,,,,,,,,,1.0,,,,
it_postwita-ud-dev,670,0,1,,,,,,,,,,,,,,1.0,,,,
sga_dipwbg-ud-test,34,0,4,,1.0,,,,,,,,,,,2.0,1.0,,,,
