Treebank,Number of Sentences,Failures,Total,acl,nmod,obl,parataxis,root,xcomp
no_bokmaal-ud-dev,2409,0,2,,,1.0,,,1.0
no_bokmaal-ud-train,15696,0,17,,5.0,12.0,,,
no_nynorsk-ud-dev,1890,0,4,,1.0,3.0,,,
no_nynorsk-ud-test,1511,0,2,,2.0,,,,
no_nynorsk-ud-train,14174,0,33,,12.0,21.0,,,
af_afribooms-ud-test,425,0,1,,,1.0,,,
nds_lsdc-ud-test,500,0,1,,,1.0,,,
nl_lassysmall-ud-test,1761,0,4,,,2.0,,2.0,
nl_lassysmall-ud-dev,1542,0,1,,,1.0,,,
nl_lassysmall-ud-train,13817,0,44,,4.0,38.0,1.0,1.0,
da_ddt-ud-train,4383,0,3,,,3.0,,,
da_ddt-ud-dev,564,0,3,,,3.0,,,
nl_alpino-ud-train,12289,0,25,1.0,3.0,17.0,,4.0,
nl_alpino-ud-test,596,0,1,,1.0,,,,
