Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,cc,ccomp,compound,csubj,discourse,dislocated,flat,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,xcomp
sl_ssj-ud-test,1282,0,52,,,,,1.0,,,,,,,,,20,,,,30,1.0,,,,
sl_ssj-ud-dev,1250,0,63,,,,,,,,,,,,,,19,,1.0,,39,3.0,,,1.0,
sl_ssj-ud-train,10903,0,470,,,,,5.0,,,,,,,,,180,,,,270,14.0,1.0,,,
no_bokmaal-ud-dev,2409,0,358,,15.0,11.0,9.0,,,1.0,,2.0,,,,,113,1.0,,1.0,194,,,,9.0,2.0
no_bokmaal-ud-test,1939,0,287,,7.0,13.0,3.0,,,,,2.0,,,,,87,5.0,,,165,,,,5.0,
no_bokmaal-ud-train,15696,0,2301,,56.0,119.0,48.0,3.0,,5.0,,20.0,,,,,684,14.0,,2.0,1282,,,,61.0,7.0
sv_talbanken-ud-dev,504,0,78,,6.0,5.0,,1.0,,,,1.0,,,,3.0,20,,,,39,,,,3.0,
sv_talbanken-ud-test,1219,0,181,,3.0,15.0,2.0,,,,,1.0,,,,,46,,,,111,,,,3.0,
sv_talbanken-ud-train,4303,0,609,2.0,31.0,47.0,3.0,,1.0,1.0,,,,3.0,,5.0,165,,1.0,,330,,2.0,,17.0,1.0
no_nynorsk-ud-dev,1890,0,311,,15.0,24.0,7.0,1.0,,1.0,,,,,,,96,2.0,,,152,,,,12.0,1.0
no_nynorsk-ud-test,1511,0,245,,8.0,11.0,2.0,,,,,4.0,,,,,78,3.0,,1.0,124,,,,13.0,1.0
no_nynorsk-ud-train,14174,0,2362,,78.0,124.0,25.0,8.0,,3.0,,19.0,,2.0,,,748,14.0,,9.0,1234,,,,87.0,11.0
sv_lines-ud-dev,1032,0,222,,6.0,5.0,4.0,2.0,,,1.0,,,5.0,1.0,,60,,,2.0,126,,1.0,,4.0,5.0
sv_lines-ud-train,3176,0,541,,17.0,11.0,4.0,1.0,,6.0,2.0,,1.0,5.0,,,140,1.0,,,340,,,,8.0,5.0
sv_lines-ud-test,1035,0,162,,,2.0,2.0,1.0,,1.0,,,,1.0,,,56,,,,94,,,,3.0,2.0
sv_pud-ud-test,1000,0,170,,4.0,9.0,1.0,,,,,,,,,,48,,,,104,,1.0,,3.0,
da_ddt-ud-train,4383,0,850,,8.0,67.0,31.0,1.0,,,,,,,2.0,,264,,10.0,,457,,1.0,,7.0,2.0
da_ddt-ud-test,565,0,85,,1.0,5.0,1.0,,,,,,,,1.0,,28,,,,48,,,,1.0,
da_ddt-ud-dev,564,0,92,,,6.0,1.0,,,,,,,,1.0,,27,,1.0,,54,,,,,2.0
sl_sst-ud-train,4558,0,44,,,,,,,,,,,,,,10,,,,32,1.0,,,1.0,
sl_sst-ud-test,1041,0,13,,,,,,,,,,,,,,5,,,,5,2.0,,1.0,,
sl_sst-ud-dev,505,0,20,,,,,,,,,,,,,,8,,,,10,,2.0,,,
