Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,ccomp,cop,csubj,dep,nmod,nsubj,obl,parataxis,root,xcomp
sl_ssj-ud-test,1282,0,4,,,,,,,,,,,,4.0,,,
sl_ssj-ud-train,10903,0,10,,,,,,,,,,,,10.0,,,
pl_pdb-ud-test,2215,0,2,,,,,,,,,,,,2.0,,,
pl_pdb-ud-train,17722,0,44,,,,,,1.0,,,,1.0,,28.0,,12.0,2.0
pl_pdb-ud-dev,2215,0,8,,,,,,,,,,,,6.0,,2.0,
hr_set-ud-train,6914,0,1,,,,,,,,,,,,1.0,,,
sk_snk-ud-dev,1060,0,3,,,,,,,,,,1.0,,1.0,,1.0,
sk_snk-ud-test,1061,0,1,,,,,,,,,,,,1.0,,,
sk_snk-ud-train,8483,0,2,,,,1.0,,,,,,,,1.0,,,
cs_pud-ud-test,1000,0,6,,,,,1.0,,,,,,,5.0,,,
sr_set-ud-train,3328,0,1,,,,,,,,,,,,1.0,,,
cs_cltt-ud-dev,316,0,2,,,,,,,,,,1.0,,1.0,,,
cs_cltt-ud-test,338,0,0,,,,,,,,,,,,,,,
cs_fictree-ud-train,10160,0,6,,1.0,1.0,,,,,,,1.0,,2.0,,1.0,
sl_sst-ud-train,4558,0,5,,,,,,,,,,,,5.0,,,
sl_sst-ud-test,1041,0,1,,,,,,,,,,,,1.0,,,
sl_sst-ud-dev,505,0,1,,,,,,,,,,,,1.0,,,
cs_pdt-ud-test,10146,0,35,,,,,,1.0,,,,6.0,,28.0,,,
cs_pdt-ud-dev,9270,0,18,,1.0,,,,,,,,4.0,,11.0,,2.0,
cs_pdt-ud-train,68491,0,233,1.0,,2.0,,3.0,,1.0,,6.0,28.0,1.0,181.0,1.0,8.0,1.0
pl_pud-ud-test,1000,0,6,,,4.0,,,,,,,,,1.0,,1.0,
cs_cac-ud-dev,603,0,1,,,,,,,,,,,,1.0,,,
cs_cac-ud-train,23478,0,109,,1.0,2.0,,,,,1.0,1.0,16.0,,85.0,,3.0,
pl_lfg-ud-test,1727,0,4,,,,,,,,,,,,4.0,,,
pl_lfg-ud-train,13774,0,16,,,,,,,,,,,,16.0,,,
pl_lfg-ud-dev,1745,0,3,,,,,,,,,,,,3.0,,,
cs_poetry-ud-test,297,0,1,,,,,,,,,,,,1.0,,,
