Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,dislocated,nmod,nummod,obl,root,xcomp
no_bokmaal-ud-dev,2409,0,56,1.0,,,,,,36,,18,,1.0
no_bokmaal-ud-test,1939,0,45,,1.0,,,,,17,,26,,1.0
no_bokmaal-ud-train,15696,0,390,4.0,9.0,1.0,,,1.0,179,2.0,194,,
sv_talbanken-ud-dev,504,0,10,1.0,,,,,,1,,8,,
sv_talbanken-ud-test,1219,0,23,,1.0,,,,,5,,17,,
sv_talbanken-ud-train,4303,0,66,,,1.0,,,,19,,46,,
no_nynorsk-ud-dev,1890,0,35,,,,,,,15,,19,,1.0
no_nynorsk-ud-test,1511,0,34,,,,,,,15,1.0,15,2.0,1.0
no_nynorsk-ud-train,14174,0,339,5.0,11.0,4.0,1.0,2.0,3.0,156,1.0,144,10.0,2.0
sv_lines-ud-dev,1032,0,29,,,1.0,,,,5,,22,,1.0
sv_lines-ud-train,3176,0,70,,,,,,,20,,50,,
sv_lines-ud-test,1035,0,14,,,,,,,6,,8,,
sv_pud-ud-test,1000,0,28,,,,,,,10,,18,,
