Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,compound,csubj,nmod,nsubj,nummod,obj,obl,orphan,root,xcomp
no_bokmaal-ud-train,15696,0,1,,,,,,,,,,1.0,,,,
la_circse-ud-test,1263,0,13,,,,,,,,,,,13.0,,,
la_perseus-ud-test,939,0,6,,,,,,,,,,,6.0,,,
la_perseus-ud-train,1334,0,18,,,,,,,2.0,,,,16.0,,,
la_llct-ud-dev,850,0,43,,39.0,,,,,,,,,4.0,,,
la_llct-ud-test,884,0,68,,48.0,,,,,12.0,,,,8.0,,,
la_llct-ud-train,7289,0,542,2.0,404.0,,,,,24.0,,,,105.0,,7.0,
la_proiel-ud-test,1260,0,11,,,,,,,,,,1.0,9.0,1.0,,
la_proiel-ud-dev,1233,0,10,,,,,,,,,,,10.0,,,
la_proiel-ud-train,16196,0,135,1.0,1.0,6.0,,,,2.0,,1.0,,122.0,,1.0,1.0
en_gum-ud-train,9521,0,2,,,,,,,,,,,2.0,,,
en_ewt-ud-train,12544,0,0,,,,,,,,,,,,,,
la_udante-ud-train,926,0,16,,,,,,,,,,,15.0,1.0,,
la_udante-ud-test,419,0,13,,1.0,,,,,,,,,11.0,1.0,,
la_udante-ud-dev,376,0,13,,,,,,,3.0,,,,10.0,,,
it_twittiro-ud-train,1138,0,1,,,,,1.0,,,,,,,,,
it_postwita-ud-train,5368,0,1,,,,,1.0,,,,,,,,,
xum_ikuvina-ud-test,133,0,4,,,,,,,,,,,4.0,,,
la_ittb-ud-dev,2101,0,4,,1.0,,,,,,,,,3.0,,,
la_ittb-ud-test,2101,0,6,,,,,,,1.0,,,,5.0,,,
la_ittb-ud-train,22775,0,227,2.0,6.0,3.0,1.0,,1.0,5.0,,,,191.0,6.0,12.0,
cs_cac-ud-train,23478,0,1,,,,,,,,1.0,,,,,,
en_gentle-ud-test,1334,0,3,,,,,,,3.0,,,,,,,
