Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,cop,csubj,dep,expl,fixed,flat,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,punct,root,xcomp
qpm_philotis-ud-train,980,0,3,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
qpm_philotis-ud-dev,635,0,2,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
sk_snk-ud-dev,1060,0,83,,,1.0,,,,,,,,,,,,,,37.0,,,,45.0,,,,
sk_snk-ud-test,1061,0,82,,,,,,,,,,,1.0,,,,,,28.0,,,,53.0,,,,
sk_snk-ud-train,8483,0,520,,,,,,,,,,,12.0,,,,,,220.0,,,,270.0,,,17.0,1.0
cs_pud-ud-test,1000,0,116,,,,,2.0,,,,,,,,,,,,52.0,,,,62.0,,,,
id_gsd-ud-train,4482,0,2,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,
sr_set-ud-train,3328,0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,
cs_cltt-ud-dev,316,0,51,,,,,,,,,,,2.0,,1.0,,,,26.0,,,,22.0,,,,
cs_cltt-ud-train,467,0,106,,,,,,,,,,,3.0,,,,,,52.0,,,,51.0,,,,
cs_cltt-ud-test,338,0,48,,,,,,,,,,,2.0,,,,,,24.0,,,,22.0,,,,
cs_fictree-ud-dev,1309,0,92,,,,,,,,1.0,,,1.0,,,,,,29.0,,,,60.0,,,1.0,
cs_fictree-ud-train,10160,0,815,,,1.0,,1.0,,,1.0,,1.0,11.0,,,,,,200.0,,,,583.0,,,15.0,2.0
cs_fictree-ud-test,1291,0,101,,1.0,,,,,,2.0,,,1.0,,,,,,25.0,,,,68.0,,,3.0,1.0
cs_pdt-ud-test,10146,0,995,7.0,1.0,2.0,6.0,,1.0,3.0,2.0,,,22.0,3.0,1.0,,,2.0,423.0,3.0,1.0,4.0,496.0,,1.0,13.0,4.0
cs_pdt-ud-dev,9270,0,899,8.0,3.0,1.0,3.0,5.0,,3.0,1.0,1.0,1.0,15.0,2.0,1.0,,,2.0,385.0,2.0,5.0,1.0,445.0,,2.0,10.0,3.0
cs_pdt-ud-train,68491,0,6618,68.0,14.0,7.0,28.0,28.0,5.0,10.0,16.0,6.0,7.0,102.0,13.0,6.0,2.0,,12.0,2810.0,13.0,26.0,21.0,3321.0,7.0,22.0,62.0,12.0
cs_cac-ud-dev,603,0,80,,,,,,,,,,,,,,,,,51.0,,,,29.0,,,,
cs_cac-ud-train,23478,0,3020,2.0,3.0,1.0,7.0,17.0,,,1.0,,1.0,38.0,,,,,,1311.0,,3.0,,1615.0,1.0,,13.0,7.0
cs_cac-ud-test,628,0,84,,,,,1.0,,,,,,2.0,,,,,,25.0,,,,55.0,,,,1.0
cs_poetry-ud-test,297,0,41,,,,,,,,,,,,,,,,,11.0,,,,26.0,4.0,,,
