Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,csubj,dislocated,nmod,nsubj,obl,orphan,root,xcomp
la_circse-ud-test,1263,0,5,,,,,,,,,5.0,,,
la_perseus-ud-test,939,0,5,,,,,,,,,5.0,,,
la_perseus-ud-train,1334,0,12,,,,,,,,,12.0,,,
la_llct-ud-dev,850,0,3,,,,,,,2.0,,1.0,,,
la_llct-ud-test,884,0,2,,,,,,,,,2.0,,,
la_llct-ud-train,7289,0,13,,,,,,,1.0,,12.0,,,
la_proiel-ud-test,1260,0,14,,1.0,,,,,1.0,,10.0,1.0,1.0,
la_proiel-ud-dev,1233,0,5,,,,,,,1.0,,4.0,,,
la_proiel-ud-train,16196,0,160,3.0,5.0,1.0,6.0,,,7.0,2.0,119.0,,11.0,6.0
la_udante-ud-train,926,0,18,,,,,,,,,17.0,1.0,,
la_udante-ud-test,419,0,20,,1.0,,,,,,,19.0,,,
la_udante-ud-dev,376,0,10,,,,,,,,,10.0,,,
la_ittb-ud-dev,2101,0,11,,,,,,1.0,,,9.0,,,1.0
la_ittb-ud-test,2101,0,18,,,,1.0,,,,,14.0,1.0,,2.0
la_ittb-ud-train,22775,0,238,14.0,7.0,1.0,2.0,3.0,,10.0,,165.0,5.0,4.0,27.0
cs_cac-ud-test,628,0,0,,,,,,,,,,,,
