Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,dep,dislocated,flat,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
no_bokmaal-ud-dev,2409,0,162,,1.0,4.0,1.0,,,,,1.0,,,29.0,,,,33,,,5.0,88.0
no_bokmaal-ud-test,1939,0,123,,5.0,10.0,,,,,,,,,17.0,,,,24,,,8.0,59.0
no_bokmaal-ud-train,15696,0,1084,3.0,17.0,71.0,2.0,3.0,,1.0,,2.0,,,189.0,1.0,,1.0,178,,,30.0,586.0
sv_talbanken-ud-dev,504,0,14,,,,,,,,,,,,,,,,14,,,,
sv_talbanken-ud-test,1219,0,15,,,,,,,,,,,,,,,,15,,,,
sv_talbanken-ud-train,4303,0,38,,,,,,,,,,,,,,,,38,,,,
no_nynorsk-ud-dev,1890,0,132,,3.0,13.0,,,,,,,,,22.0,,,,25,,,7.0,62.0
no_nynorsk-ud-test,1511,0,115,,1.0,7.0,,,,,,,,,20.0,,,,29,,,2.0,56.0
no_nynorsk-ud-train,14174,0,1046,1.0,19.0,65.0,3.0,3.0,,,,,,,190.0,,,,184,,,24.0,557.0
sv_lines-ud-dev,1032,0,85,1.0,,5.0,2.0,,,1.0,,1.0,,,26.0,2.0,1.0,,42,,,1.0,3.0
sv_lines-ud-train,3176,0,232,4.0,3.0,27.0,3.0,2.0,1.0,,,1.0,,,61.0,2.0,,5.0,109,1.0,1.0,5.0,7.0
sv_lines-ud-test,1035,0,70,1.0,1.0,7.0,1.0,,,,,,,,16.0,,,1.0,28,1.0,,1.0,13.0
sv_pud-ud-test,1000,0,39,,,,,,,,,,,1.0,,,,,38,,,,
da_ddt-ud-train,4383,0,379,50.0,42.0,13.0,12.0,1.0,8.0,,5.0,,4.0,,42.0,1.0,,10.0,177,,,11.0,3.0
da_ddt-ud-test,565,0,46,6.0,2.0,2.0,,,2.0,,,,2.0,,8.0,,,2.0,20,,,1.0,1.0
da_ddt-ud-dev,564,0,40,4.0,5.0,2.0,,,,,2.0,,2.0,,5.0,,,,17,,,2.0,1.0
