Treebank,Number of Sentences,Failures,Total,acl,advcl,ccomp,nmod,nummod,obl,orphan,root
it_old-ud-train,1748,0,61,1.0,1.0,1.0,1.0,,57.0,,
it_old-ud-dev,316,0,15,,2.0,,,,11.0,1.0,1.0
it_old-ud-test,338,0,13,,,,1.0,,12.0,,
it_valico-ud-test,398,0,4,,,,,,4.0,,
it_pud-ud-test,1000,0,2,,,,2.0,,,,
it_isdt-ud-test,482,0,1,,,,,,1.0,,
it_isdt-ud-train,13121,0,27,1.0,,,6.0,,20.0,,
it_isdt-ud-dev,564,0,1,,,,,,1.0,,
it_partut-ud-train,1781,0,1,,,,,,1.0,,
it_twittiro-ud-train,1138,0,1,,,,,,1.0,,
it_markit-ud-test,340,0,1,,,,1.0,,,,
it_markit-ud-dev,341,0,1,1.0,,,,,,,
it_postwita-ud-train,5368,0,1,,,,,,1.0,,
it_vit-ud-train,8277,0,4,,,,1.0,1.0,1.0,,1.0
