Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,dep,nmod,nsubj,obj,obl,orphan,root,xcomp
la_circse-ud-test,1263,0,10,,,,,,,,,10,,,
la_perseus-ud-test,939,0,11,,,,,,,,,11,,,
la_perseus-ud-train,1334,0,31,,,,,,4.0,,,27,,,
la_llct-ud-dev,850,0,14,,,,,,,,,14,,,
la_llct-ud-test,884,0,8,,,,,,,,,8,,,
la_llct-ud-train,7289,0,90,,,,,,2.0,,,87,,1.0,
la_proiel-ud-test,1260,0,20,1.0,,1.0,,,,,,17,,1.0,
la_proiel-ud-dev,1233,0,17,2.0,,3.0,,,2.0,,,10,,,
la_proiel-ud-train,16196,0,225,6.0,2.0,4.0,1.0,3.0,12.0,1.0,,181,5.0,7.0,3.0
la_udante-ud-train,926,0,13,,,,,,,,,13,,,
la_udante-ud-test,419,0,2,,,,,,,,,2,,,
la_udante-ud-dev,376,0,9,,,,,,1.0,,1.0,7,,,
xum_ikuvina-ud-test,133,0,1,,,,,,,,,1,,,
la_ittb-ud-dev,2101,0,8,,,,,,1.0,,,3,,3.0,1.0
la_ittb-ud-test,2101,0,4,,,,,,,,,4,,,
la_ittb-ud-train,22775,0,120,5.0,2.0,1.0,,,16.0,,,93,1.0,2.0,
