Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,dislocated,mark,nmod,nsubj,nummod,obl,orphan,parataxis,punct,reparandum,root,xcomp
xav_xdt-ud-test,171,0,2,,,,,,,,1.0,,,,,1,,,,,,
gub_tudet-ud-test,1182,0,2,,,,,,,,,,,,,2,,,,,,
af_afribooms-ud-dev,194,0,1,,,,,,,,,,,,,1,,,,,,
nds_lsdc-ud-test,500,0,5,,,,,,,,,,1.0,,,4,,,,,,
nl_lassysmall-ud-test,1761,0,266,35.0,73.0,,,17.0,2.0,7.0,,2.0,11.0,,,12,,1.0,,,22.0,84.0
nl_lassysmall-ud-dev,1542,0,212,34.0,52.0,,,15.0,2.0,7.0,,,22.0,3.0,,11,,1.0,,,13.0,52.0
nl_lassysmall-ud-train,13817,0,2137,308.0,575.0,,,168.0,12.0,73.0,,9.0,150.0,1.0,,155,,25.0,,,108.0,553.0
aln_gps-ud-test,966,0,53,,,6.0,,,,,,,1.0,2.0,,40,,,,3.0,1.0,
nl_alpino-ud-train,12289,0,1815,260.0,318.0,1.0,1.0,228.0,26.0,107.0,,6.0,115.0,4.0,,85,1.0,19.0,,,133.0,511.0
nl_alpino-ud-test,596,0,89,10.0,13.0,,,11.0,4.0,3.0,,,5.0,1.0,,4,,,,,5.0,33.0
nl_alpino-ud-dev,718,0,95,17.0,15.0,,,9.0,2.0,5.0,,,,,1.0,2,,1.0,1.0,,5.0,37.0
