Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,dislocated,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
sv_talbanken-ud-dev,504,0,74,6.0,4.0,1.0,,,,1.0,,,16.0,,,,36.0,,2.0,2.0,6.0
sv_talbanken-ud-test,1219,0,180,2.0,15.0,1.0,,,,,1.0,,40.0,,,,108.0,,3.0,5.0,5.0
sv_talbanken-ud-train,4303,0,697,13.0,26.0,15.0,4.0,2.0,,4.0,1.0,,113.0,7.0,2.0,,445.0,,4.0,42.0,19.0
sv_lines-ud-dev,1032,0,137,,3.0,,,2.0,2.0,1.0,,,32.0,,,,96.0,,,1.0,
sv_lines-ud-train,3176,0,484,6.0,7.0,5.0,,3.0,5.0,,1.0,,99.0,,2.0,,341.0,,,11.0,4.0
sv_lines-ud-test,1035,0,141,,1.0,,,2.0,,1.0,,,27.0,,,1.0,103.0,1.0,,4.0,1.0
en_gum-ud-train,9521,0,7,,,,,,,,,,,,,,7.0,,,,
en_gum-ud-test,1285,0,1,,,,,,,,,,,,,,1.0,,,,
en_lines-ud-train,3176,0,2,,,,,,,,,,,,,,2.0,,,,
en_ewt-ud-train,12544,0,3,,,,,,,,,,,,,,3.0,,,,
sv_pud-ud-test,1000,0,204,7.0,10.0,3.0,,2.0,,,,1.0,52.0,,,,114.0,,1.0,11.0,3.0
is_icepahc-ud-train,34007,0,2,,,,,,,,,,,,,,2.0,,,,
pcm_nsc-ud-dev,990,0,6,,2.0,,,,1.0,,,,,,,,3.0,,,,
pcm_nsc-ud-train,7279,0,21,,7.0,2.0,,,,,,,,,,,12.0,,,,
pcm_nsc-ud-test,972,0,3,,1.0,1.0,,,,,,,,,,,1.0,,,,
en_gentle-ud-test,1334,0,1,,,,,,,,,,,,,,,,,1.0,
