Treebank,Number of Sentences,Failures,Total,nmod,nummod,obj,obl,root
en_partut-ud-dev,156,0,1,1.0,,,,
en_partut-ud-train,1781,0,6,1.0,1.0,,4.0,
en_partut-ud-test,153,0,1,1.0,,,,
ga_twittirish-ud-dev,864,0,1,,,1.0,,
en_gum-ud-train,9521,0,13,7.0,,,6.0,
en_gum-ud-test,1285,0,2,,,,2.0,
en_gum-ud-dev,1341,0,1,,,,1.0,
en_lines-ud-train,3176,0,6,,,,6.0,
en_lines-ud-dev,1032,0,2,,,,2.0,
en_lines-ud-test,1035,0,2,,,,2.0,
en_ewt-ud-dev,2001,0,2,2.0,,,,
en_ewt-ud-train,12544,0,8,2.0,,,6.0,
pcm_nsc-ud-dev,990,0,1,1.0,,,,
pcm_nsc-ud-train,7279,0,2,,,,1.0,1.0
en_gentle-ud-test,1334,0,1,1.0,,,,
en_pud-ud-test,1000,0,4,1.0,,,3.0,
