Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,compound,cop,csubj,dep,discourse,dislocated,expl,fixed,flat,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,vocative,xcomp
sl_ssj-ud-test,1282,0,568,,,,1.0,5.0,,,,,,,,,,,,,,,141,,,,413.0,2.0,3.0,,,3.0,,
sl_ssj-ud-dev,1250,0,610,,,,1.0,9.0,,,,,,,,,,,,,,,168,,,,426.0,3.0,2.0,,,1.0,,
sl_ssj-ud-train,10903,0,4790,,,1.0,2.0,54.0,,,1.0,,,1.0,,,,,,,1.0,,1200,,,,3437.0,54.0,18.0,,,20.0,,1.0
sk_snk-ud-dev,1060,0,290,,,,,1.0,,,,,,,2.0,,,,,,,,68,,1.0,,218.0,,,,,,,
sk_snk-ud-test,1061,0,339,,,,,3.0,,,,,,,1.0,,,,,,,,74,,1.0,,258.0,,,1.0,,1.0,,
sk_snk-ud-train,8483,0,1153,,,,2.0,3.0,,,,,,,15.0,,,,,,,,201,,,,915.0,,,,,17.0,,
cs_pud-ud-test,1000,0,537,,3.0,1.0,,8.0,,,1.0,2.0,,1.0,,,,,,,,,159,,,,353.0,,,,,7.0,,2.0
ga_twittirish-ud-dev,864,0,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1.0,,
ga_twittirish-ud-train,866,0,6,,,,,,,,,,,,,,,,,,,,2,,,,1.0,,1.0,,,1.0,1.0,
cs_cltt-ud-dev,316,0,272,,1.0,1.0,,,,,,,,,6.0,,,,,,,,90,,,,174.0,,,,,,,
cs_cltt-ud-train,467,0,319,,,,,,,,,,,,5.0,,,,,,,,100,,,,212.0,,1.0,,,1.0,,
cs_cltt-ud-test,338,0,256,,,,,,,,,,,,3.0,,,,1.0,,,,72,,,,179.0,,,,,,,1.0
cs_fictree-ud-dev,1309,0,211,,3.0,,,3.0,,,3.0,,,,10.0,,,,,,,,30,,,,156.0,,,,,6.0,,
cs_fictree-ud-train,10160,0,1627,,6.0,10.0,,10.0,,,26.0,,,,76.0,,,,,1.0,,,266,,,,1145.0,,,,,81.0,,6.0
cs_fictree-ud-test,1291,0,199,,2.0,,,3.0,,,3.0,,,,9.0,,,,,,,,29,,,,143.0,,,,,10.0,,
sl_sst-ud-train,4558,0,1044,,6.0,3.0,1.0,20.0,,,2.0,,,1.0,,13.0,1.0,,,,,,101,1.0,,1.0,792.0,35.0,9.0,,21.0,36.0,,1.0
sl_sst-ud-test,1041,0,176,,1.0,,1.0,1.0,,,,,,,,7.0,,,,,,,18,,,,130.0,3.0,5.0,,6.0,4.0,,
sl_sst-ud-dev,505,0,235,,1.0,1.0,,2.0,,,,,,,,4.0,,,,,,,30,,,,181.0,4.0,3.0,,4.0,5.0,,
cs_pdt-ud-test,10146,0,3508,12.0,27.0,10.0,13.0,23.0,2.0,2.0,11.0,,6.0,3.0,60.0,,,3.0,14.0,2.0,,1.0,983,,10.0,6.0,2206.0,1.0,3.0,16.0,,88.0,,6.0
cs_pdt-ud-dev,9270,0,3267,19.0,16.0,11.0,11.0,13.0,2.0,5.0,9.0,2.0,1.0,1.0,70.0,1.0,,,7.0,,,5.0,952,4.0,7.0,7.0,2006.0,8.0,,14.0,,94.0,,2.0
cs_pdt-ud-train,68491,0,24417,130.0,134.0,65.0,60.0,140.0,10.0,31.0,95.0,8.0,12.0,27.0,443.0,,,7.0,67.0,5.0,,19.0,6933,18.0,53.0,27.0,15392.0,7.0,16.0,65.0,,613.0,,40.0
cs_cac-ud-dev,603,0,249,,,,1.0,3.0,,,,,,,3.0,,,,,,,,98,,1.0,,136.0,,,,,5.0,,2.0
cs_cac-ud-train,23478,0,11300,,57.0,34.0,104.0,86.0,,,18.0,,,11.0,146.0,,,,8.0,,,,3267,1.0,22.0,,7246.0,,6.0,1.0,,269.0,,24.0
cs_cac-ud-test,628,0,232,,,2.0,,1.0,,,,,,,5.0,,,,,,,,50,,,,168.0,,1.0,,,3.0,,2.0
cs_poetry-ud-test,297,0,184,,,,,2.0,,,,,,,,,,,,,,,16,,,,161.0,4.0,,,,1.0,,
