Treebank,Number of Sentences,Failures,Total,advcl,advmod,appos,ccomp,iobj,nmod,obl,orphan,parataxis,root
fr_pud-ud-test,1000,0,17,,,,,,7.0,10.0,,,
fr_fqb-ud-test,2289,0,2,,,,,,1.0,1.0,,,
fr_gsd-ud-test,416,0,3,,,,,,,3.0,,,
fr_gsd-ud-train,14450,0,178,,,,,,41.0,135.0,1.0,1.0,
fr_gsd-ud-dev,1476,0,28,,,,,,9.0,19.0,,,
fr_rhapsodie-ud-train,1288,0,9,,,,,,,9.0,,,
fr_rhapsodie-ud-dev,1081,0,7,,,,1.0,,1.0,5.0,,,
fr_rhapsodie-ud-test,840,0,2,,,,,,1.0,1.0,,,
fr_parisstories-ud-dev,692,0,2,,,,,,,2.0,,,
fr_parisstories-ud-train,1387,0,22,1.0,2.0,1.0,,,1.0,17.0,,,
fr_parisstories-ud-test,697,0,2,,,,,,1.0,1.0,,,
fro_profiterole-ud-train,15503,0,56,,,,,9.0,2.0,44.0,,,1.0
ca_ancora-ud-train,13123,0,1,,,,,,1.0,,,,
fr_partut-ud-dev,107,0,1,,,,,,1.0,,,,
fr_partut-ud-train,803,0,2,,,,,,,2.0,,,
fr_sequoia-ud-test,456,0,3,,,,,,2.0,1.0,,,
fr_sequoia-ud-train,2231,0,15,,,,,,6.0,9.0,,,
fr_sequoia-ud-dev,412,0,2,,,,,,2.0,,,,
