Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,dep,dislocated,flat,nmod,nsubj,obj,obl,parataxis,reparandum,root,xcomp
en_partut-ud-dev,156,0,16,,,,,,,,,,,3.0,,,13.0,,,,
en_partut-ud-train,1781,0,230,4.0,6.0,,,1.0,,,,,,76.0,,,143.0,,,,
en_partut-ud-test,153,0,16,,,,,,,,,,,8.0,,,8.0,,,,
es_gsd-ud-train,14187,0,1,,,,,,,,,,1.0,,,,,,,,
no_nynorsk-ud-train,14174,0,1,,,,,,,,,,,,,,1.0,,,,
ga_twittirish-ud-dev,864,0,4,,,,,,,,,,,1.0,,,2.0,1.0,,,
ga_twittirish-ud-test,866,0,3,,,,,,,,,,,,,,2.0,1.0,,,
ga_twittirish-ud-train,866,0,3,,,,,,,,,,,,,,3.0,,,,
en_atis-ud-test,586,0,18,,,,,,,,,,,13.0,,1.0,4.0,,,,
en_atis-ud-train,4274,0,159,5.0,,,,,1.0,,,,,113.0,,1.0,39.0,,,,
en_atis-ud-dev,572,0,18,,,,,,,,,,,12.0,,,6.0,,,,
en_gum-ud-train,9521,0,790,10.0,3.0,1.0,1.0,3.0,,1.0,,,,193.0,,,556.0,1.0,6.0,13.0,2.0
en_gum-ud-test,1285,0,104,1.0,2.0,,,,,,,,,37.0,,,63.0,,,1.0,
en_gum-ud-dev,1341,0,123,1.0,1.0,,,,,,1.0,,,32.0,1.0,,85.0,,,2.0,
en_lines-ud-train,3176,0,306,11.0,8.0,,,3.0,,,,1.0,,93.0,2.0,1.0,184.0,,,3.0,
en_lines-ud-dev,1032,0,129,5.0,6.0,1.0,2.0,,,,,,,35.0,1.0,,78.0,,,1.0,
en_lines-ud-test,1035,0,136,2.0,8.0,,,3.0,,,,,,37.0,1.0,,84.0,1.0,,,
en_ewt-ud-test,2077,0,157,3.0,4.0,,,,,,,,,40.0,,,107.0,,,2.0,1.0
en_ewt-ud-dev,2001,0,140,5.0,1.0,,,2.0,,,,,,50.0,,,81.0,,,1.0,
en_ewt-ud-train,12544,0,1116,9.0,8.0,,,6.0,,,,,,326.0,,1.0,759.0,2.0,,4.0,1.0
en_pronouns-ud-test,285,0,5,,,,,,,,,,,,,,,,,5.0,
en_gentle-ud-test,1334,0,111,2.0,,,,,1.0,,1.0,,,27.0,,,76.0,1.0,,1.0,2.0
en_pud-ud-test,1000,0,114,,,,,,,,,,,35.0,,,79.0,,,,
