Treebank,Number of Sentences,Failures,Total,acl,advcl,ccomp,compound,nmod,nsubj,obj,obl,root
tr_pud-ud-test,1000,0,4,2.0,,,,1.0,,,1.0,
tr_kenet-ud-test,1643,0,0,,,,,,,,,
tr_tourism-ud-train,15473,0,2,,,,,,,,,2.0
tr_tourism-ud-dev,2166,0,1,,,,,,,,,1.0
tr_tourism-ud-test,2191,0,3,,,,,1.0,,,,2.0
tr_imst-ud-train,3435,0,4,,,,,2.0,,,,2.0
tr_imst-ud-dev,1100,0,1,,,,,1.0,,,,
tr_imst-ud-test,1100,0,1,,,,,1.0,,,,
tr_boun-ud-dev,979,0,0,,,,,,,,,
tr_boun-ud-test,979,0,0,,,,,,,,,
tr_boun-ud-train,7803,0,5,,2.0,,,1.0,,,2.0,
tr_penn-ud-dev,622,0,3,1.0,,,,1.0,,,,1.0
tr_penn-ud-test,924,0,5,,,,,5.0,,,,
tr_penn-ud-train,14850,0,106,13.0,3.0,3.0,1.0,49.0,5.0,10.0,20.0,2.0
