Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,compound,cop,csubj,dep,discourse,dislocated,expl,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,xcomp
sl_ssj-ud-test,1282,0,254,,,,1.0,2.0,,,,,,,,,,,,,,,,113.0,,,,123,3.0,2.0,,,1.0,9.0
sl_ssj-ud-dev,1250,0,277,,,,4.0,3.0,,,,,,,,,,,,,,,,134.0,,,,129,1.0,1.0,,,,5.0
sl_ssj-ud-train,10903,0,2125,,1.0,3.0,22.0,10.0,,,,,,,,2.0,,,,,,8.0,,899.0,1.0,1.0,1.0,1057,18.0,10.0,,,10.0,82.0
pl_pdb-ud-test,2215,0,104,,,,,,,,,,,,,,,,,,,,,22.0,,,,81,,,,,1.0,
pl_pdb-ud-train,17722,0,839,,,2.0,4.0,,,,,,,,,,,,,,,,,134.0,,,,687,5.0,2.0,,,3.0,2.0
pl_pdb-ud-dev,2215,0,125,,,,,,,,,,,,,,,,,,,,,20.0,,,,104,,1.0,,,,
hr_set-ud-dev,960,0,279,,,,3.0,,,,,,,,,1.0,,,,2.0,,,,158.0,,1.0,4.0,109,1.0,,,,,
hr_set-ud-train,6914,0,1766,,3.0,1.0,6.0,2.0,,,1.0,,,,,,,,,6.0,,,,993.0,1.0,2.0,32.0,696,9.0,4.0,,,4.0,6.0
hr_set-ud-test,1136,0,255,,,,1.0,,,,,,,,,,,,,,,,,158.0,,,4.0,90,1.0,,,,1.0,
qpm_philotis-ud-train,980,0,105,,,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,1.0,89,5.0,1.0,,,4.0,1.0
qpm_philotis-ud-dev,635,0,45,,,,,,,,1.0,,,,,,,,,,14.0,,,11.0,,2.0,,14,,1.0,,,2.0,
qpm_philotis-ud-test,635,0,50,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,47,,,,,,
sk_snk-ud-dev,1060,0,31,,,,,,,,,,,,,,,,,,,,,3.0,,,,27,,,,,1.0,
sk_snk-ud-test,1061,0,48,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,43,,,,,1.0,
sk_snk-ud-train,8483,0,214,,,,1.0,1.0,,,,,,,3.0,,,,,,,,,28.0,,,1.0,179,,,,,1.0,
cs_pud-ud-test,1000,0,57,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,14.0,,,,38,,,,,,2.0
hsb_ufal-ud-test,623,0,67,,,,,,,,,,,,,,,,,,,,,42.0,,,1.0,23,1.0,,,,,
hsb_ufal-ud-train,23,0,2,,,,,,,,,,,,,,,,,,,,,1.0,,,,1,,,,,,
sr_set-ud-test,520,0,122,,,,,,,,,,,,,,,,,,,,,79.0,,,,42,,,,,1.0,
sr_set-ud-train,3328,0,901,,,,3.0,2.0,,,,,,,,,,,,,,,,510.0,,,1.0,382,2.0,,,,1.0,
sr_set-ud-dev,536,0,162,,,,,,,,,,,,,,,,,,,,,84.0,,1.0,,76,,,,,1.0,
cs_cltt-ud-dev,316,0,49,,,,,,,,,,,,,,,,,,,,,18.0,,,,31,,,,,,
cs_cltt-ud-train,467,0,63,,,,,,,,,,,,,,,,,,,,,32.0,,,,31,,,,,,
cs_cltt-ud-test,338,0,61,,,,,,,,,,,,,,,,,,,,,21.0,,,,40,,,,,,
cs_fictree-ud-dev,1309,0,52,,,,,,,,,,,,2.0,,,,,,,,,4.0,,,,44,,,,,2.0,
cs_fictree-ud-train,10160,0,443,,1.0,,,1.0,,,1.0,,,,12.0,,,,,,,,,35.0,,,,380,,,,,13.0,
cs_fictree-ud-test,1291,0,46,,,,,,,,,,,,,,,,,,,,,7.0,,,,39,,,,,,
sl_sst-ud-train,4558,0,438,,7.0,7.0,10.0,9.0,,,1.0,,,3.0,,,1.0,,,,,,,106.0,,,1.0,240,8.0,5.0,,4.0,23.0,13.0
sl_sst-ud-test,1041,0,76,,,1.0,1.0,,,,,,,,,,,,,,,,,17.0,,,1.0,47,1.0,,,4.0,3.0,1.0
sl_sst-ud-dev,505,0,83,,,,,4.0,,,,,,,,,,,,,,,,32.0,,,,40,2.0,2.0,,,3.0,
cs_pdt-ud-test,10146,0,560,3.0,4.0,1.0,4.0,2.0,,1.0,4.0,,,,18.0,,,,,,,,,121.0,2.0,24.0,,359,,,1.0,,13.0,3.0
cs_pdt-ud-dev,9270,0,483,5.0,1.0,,3.0,,,1.0,5.0,,,1.0,13.0,,,,,,,,,120.0,,5.0,1.0,315,1.0,,1.0,,10.0,1.0
cs_pdt-ud-train,68491,0,3642,32.0,11.0,5.0,33.0,9.0,1.0,9.0,7.0,1.0,1.0,5.0,97.0,,,1.0,1.0,2.0,1.0,,2.0,786.0,3.0,97.0,16.0,2426,4.0,,11.0,,69.0,12.0
pl_pud-ud-test,1000,0,46,,,,,,,,,,,,,,,,,,,,,8.0,,,,38,,,,,,
cs_cac-ud-dev,603,0,23,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,15,,,,,3.0,1.0
cs_cac-ud-train,23478,0,1291,,,1.0,4.0,7.0,,,,,,,31.0,,,,,,,,,308.0,1.0,6.0,,916,,1.0,,,13.0,3.0
cs_cac-ud-test,628,0,23,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,18,,,,,2.0,1.0
pl_lfg-ud-test,1727,0,40,,,,,,,,,,,,,,,,,,,,,1.0,,,,32,,,,,,7.0
pl_lfg-ud-train,13774,0,297,,,1.0,,,,,,,,,,,,,,,,,,28.0,,,,244,,,,,3.0,21.0
pl_lfg-ud-dev,1745,0,36,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,3.0
cs_poetry-ud-test,297,0,13,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,10,,,,,,
