Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,csubj,dislocated,flat,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,xcomp
de_hdt-ud-test,18459,0,2208,,,1.0,,1.0,,,,,,758.0,,117.0,186.0,1070.0,,2.0,,41.0,32.0
de_hdt-ud-train,153035,0,18489,5.0,3.0,12.0,,6.0,2.0,,,,,6423.0,6.0,1033.0,1707.0,8567.0,,29.0,,483.0,213.0
de_hdt-ud-dev,18434,0,2260,,,1.0,1.0,1.0,,,,,,887.0,,119.0,214.0,977.0,,2.0,,45.0,13.0
de_pud-ud-test,1000,0,156,,,1.0,,,,,,,,45.0,,,,110.0,,,,,
lb_luxbank-ud-test,20,0,1,,,,,,,,,1.0,,,,,,,,,,,
de_lit-ud-test,1920,0,182,1.0,,4.0,,,,,,,,51.0,1.0,,3.0,105.0,4.0,9.0,,2.0,2.0
de_gsd-ud-train,13814,0,1957,3.0,2.0,8.0,1.0,,1.0,,1.0,,,638.0,2.0,,,1158.0,1.0,4.0,,54.0,84.0
de_gsd-ud-dev,799,0,75,,,,,,,,,,,23.0,,,,49.0,,,,3.0,
de_gsd-ud-test,977,0,115,,,,,,,,,,,41.0,,,,72.0,,,,2.0,
qtd_sagt-ud-test,805,0,55,1.0,4.0,,,3.0,1.0,,,1.0,2.0,2.0,,,,27.0,,,7.0,1.0,6.0
qtd_sagt-ud-dev,801,0,63,3.0,6.0,,,3.0,2.0,,,1.0,,9.0,,,,26.0,,,2.0,3.0,8.0
qtd_sagt-ud-train,578,0,50,3.0,5.0,,,2.0,,1.0,,,,6.0,1.0,,1.0,20.0,,1.0,2.0,,8.0
