Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,dislocated,nmod,nsubj,obl,orphan,root,xcomp
el_gud-ud-test,736,0,0,,,,,,,,,,,,
grc_perseus-ud-dev,1137,0,76,,,,,,,15.0,1.0,58.0,,,2.0
grc_perseus-ud-train,11476,0,299,1.0,2.0,,1.0,,,11.0,,276.0,,8.0,
grc_perseus-ud-test,1306,0,46,,1.0,,,,,1.0,,44.0,,,
grc_proiel-ud-test,1047,0,27,,1.0,,,,,,,23.0,1.0,2.0,
grc_proiel-ud-train,15016,0,485,5.0,22.0,14.0,1.0,2.0,2.0,18.0,4.0,359.0,16.0,37.0,5.0
grc_proiel-ud-dev,1019,0,38,,6.0,,,1.0,,1.0,,27.0,,2.0,1.0
grc_ptnk-ud-train,727,0,113,6.0,5.0,,,4.0,,5.0,,89.0,,4.0,
grc_ptnk-ud-dev,439,0,72,7.0,,,,,,19.0,,45.0,,1.0,
grc_ptnk-ud-test,410,0,62,4.0,1.0,,,3.0,,2.0,,50.0,,2.0,
el_gdt-ud-test,456,0,10,,,,,,,1.0,,9.0,,,
el_gdt-ud-train,1662,0,34,,,,,,,8.0,,26.0,,,
el_gdt-ud-dev,403,0,8,,,,,,,3.0,,5.0,,,
