Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,cc,ccomp,compound,csubj,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,root,vocative,xcomp
uk_iu-ud-dev,673,0,155,,,1.0,,,,,,,,,,,,42,,,,107.0,1.0,,,4,,
uk_iu-ud-train,5521,0,1049,,5.0,3.0,,21.0,,1.0,,,,2.0,,,,192,,,,779.0,14.0,9.0,,20,1.0,2.0
uk_iu-ud-test,898,0,199,,,1.0,,1.0,,2.0,,1.0,,1.0,,,,55,,,,135.0,1.0,,,2,,
be_hse-ud-train,22853,0,6,,,,,,,,,,,,,1.0,,3,,1.0,,,,,,1,,
kpv_ikdp-ud-test,214,0,4,,,,,,,,,,,,,,,1,,,,2.0,,,,1,,
ru_taiga-ud-train,16045,0,3998,,30.0,30.0,4.0,8.0,,21.0,1.0,3.0,,,,1.0,,786,4.0,1.0,3.0,2730.0,16.0,94.0,,264,,2.0
ru_taiga-ud-dev,946,0,220,,,2.0,,1.0,,1.0,,,,,,,,34,,,1.0,154.0,4.0,5.0,,18,,
ru_taiga-ud-test,881,0,218,,2.0,2.0,,,,,,,,,1.0,,,52,,,2.0,134.0,4.0,9.0,,12,,
ru_syntagrus-ud-train,69630,0,34439,18.0,147.0,188.0,33.0,23.0,2.0,76.0,,22.0,6.0,,,,1.0,7740,27.0,15.0,9.0,24037.0,52.0,675.0,8.0,1336,,24.0
ru_syntagrus-ud-dev,8906,0,4126,,15.0,23.0,8.0,9.0,1.0,8.0,,1.0,1.0,,,,2.0,882,3.0,3.0,,2899.0,10.0,98.0,7.0,154,,2.0
ru_syntagrus-ud-test,8800,0,4430,10.0,19.0,26.0,5.0,2.0,,7.0,,1.0,2.0,1.0,,,,941,,4.0,1.0,3154.0,15.0,96.0,2.0,140,,4.0
ru_poetry-ud-test,728,0,209,,,,,,,2.0,,,,,,,,29,,,,158.0,,5.0,,15,,
ru_poetry-ud-dev,789,0,235,,1.0,1.0,,,,,,,,,,,,23,,,,196.0,2.0,,,12,,
ru_poetry-ud-train,3569,0,1091,,1.0,2.0,,,,1.0,,,,,,,,79,,,,922.0,7.0,9.0,,70,,
ru_pud-ud-test,1000,0,734,,2.0,2.0,,5.0,,,,,,1.0,,,,164,,1.0,,540.0,6.0,3.0,,10,,
ru_gsd-ud-test,601,0,490,,2.0,,,1.0,,,,,,,,,,93,,,,385.0,1.0,5.0,,3,,
ru_gsd-ud-dev,579,0,466,,,,,2.0,,,,,,1.0,,1.0,,107,,,,350.0,2.0,1.0,,2,,
ru_gsd-ud-train,3850,0,3045,,1.0,1.0,,5.0,,,,,,3.0,,4.0,,691,2.0,1.0,1.0,2295.0,20.0,10.0,,11,,
bg_btb-ud-train,8907,0,2604,,7.0,7.0,,2.0,,4.0,,,,,472.0,,,934,,,6.0,1107.0,,4.0,,61,,
bg_btb-ud-test,1116,0,316,,,1.0,,,,2.0,,,,,47.0,,,129,,,,131.0,,,,6,,
bg_btb-ud-dev,1115,0,344,,,2.0,,,,1.0,,,,,70.0,,,126,,,,140.0,,,,5,,
