Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,ccomp,flat,iobj,nmod,nsubj,nummod,obj,obl,parataxis,root,xcomp
uk_iu-ud-dev,673,0,3,,,,,,,,2.0,,,,1.0,,,
uk_iu-ud-train,5521,0,34,,,,,,,,11.0,,,,23.0,,,
uk_iu-ud-test,898,0,11,,,,,,,,3.0,,,,8.0,,,
be_hse-ud-train,22853,0,91,,,,,,,,60.0,,,,29.0,1.0,1.0,
be_hse-ud-dev,1301,0,4,,,,,,,,1.0,,,,3.0,,,
be_hse-ud-test,1077,0,3,,,,,,,,2.0,,,,1.0,,,
ru_taiga-ud-train,16045,0,48,,,,,,,,15.0,,,,32.0,1.0,,
ru_taiga-ud-dev,946,0,12,,,,,,,,,,,,10.0,1.0,1.0,
ru_taiga-ud-test,881,0,5,,,,,,,,2.0,,,,3.0,,,
ru_syntagrus-ud-train,69630,0,443,,1.0,1.0,2.0,1.0,,,175.0,,,3.0,255.0,3.0,2.0,
ru_syntagrus-ud-dev,8906,0,64,,,,,1.0,,,28.0,,,1.0,32.0,,2.0,
ru_syntagrus-ud-test,8800,0,56,1.0,,,,,,,14.0,,,,40.0,,,1.0
ru_poetry-ud-test,728,0,22,,,,,,,,3.0,,,,18.0,,1.0,
ru_poetry-ud-dev,789,0,15,,,,,,,,1.0,,,,13.0,,1.0,
ru_poetry-ud-train,3569,0,103,,,,,,,,12.0,,,,83.0,,8.0,
ru_pud-ud-test,1000,0,7,,,,,,,,4.0,,,,3.0,,,
ru_gsd-ud-test,601,0,4,,,,,,,,1.0,,,,3.0,,,
ru_gsd-ud-dev,579,0,8,,,,,,,,6.0,,,,2.0,,,
ru_gsd-ud-train,3850,0,25,,,,,,1.0,,14.0,,,,9.0,1.0,,
bg_btb-ud-train,8907,0,68,,,,,,,8.0,39.0,1.0,1.0,,16.0,,3.0,
bg_btb-ud-test,1116,0,5,,,,,,,2.0,3.0,,,,,,,
bg_btb-ud-dev,1115,0,15,,,,,,,3.0,9.0,,,,2.0,,1.0,
