Treebank,Number of Sentences,Failures,Total,acl,advcl,appos,nmod,obl,orphan,parataxis,root,xcomp
ru_taiga-ud-train,16045,0,19,1.0,,,3.0,10.0,,,5.0,
ru_taiga-ud-dev,946,0,1,,,,,1.0,,,,
ru_taiga-ud-test,881,0,4,1.0,,,,2.0,,,1.0,
ru_syntagrus-ud-train,69630,0,341,9.0,4.0,,85.0,188.0,,8.0,46.0,1.0
ru_syntagrus-ud-dev,8906,0,41,1.0,1.0,1.0,4.0,24.0,2.0,1.0,7.0,
ru_syntagrus-ud-test,8800,0,54,3.0,1.0,,9.0,29.0,,1.0,11.0,
ru_poetry-ud-test,728,0,2,,,,2.0,,,,,
ru_poetry-ud-dev,789,0,2,,,,,2.0,,,,
ru_poetry-ud-train,3569,0,10,,,,4.0,6.0,,,,
ru_pud-ud-test,1000,0,6,,,,3.0,2.0,,,1.0,
ru_gsd-ud-test,601,0,3,,,,1.0,2.0,,,,
ru_gsd-ud-dev,579,0,6,,,,3.0,3.0,,,,
ru_gsd-ud-train,3850,0,46,,,,19.0,24.0,,2.0,1.0,
