Treebank,Number of Sentences,Failures,Total,acl,advcl,appos,ccomp,compound,csubj,flat,nmod,nummod,obl,parataxis,root,xcomp
xcl_caval-ud-train,3185,0,286,,6.0,1.0,2.0,,,,3.0,,268.0,,5.0,1.0
xcl_caval-ud-dev,411,0,40,1.0,,1.0,,,,1.0,,1.0,36.0,,,
xcl_caval-ud-test,550,0,49,,,2.0,1.0,,1.0,,,,45.0,,,
hy_bsut-ud-train,1226,0,2,,,,,1.0,,,,,1.0,,,
hy_bsut-ud-dev,479,0,2,,,,,1.0,,,,,1.0,,,
hy_armtdp-ud-train,1974,0,7,,,,,5.0,,,,,2.0,,,
hy_armtdp-ud-test,277,0,1,,,,,1.0,,,,,,,,
hyw_armtdp-ud-test,680,0,1,,,,,1.0,,,,,,,,
hyw_armtdp-ud-dev,694,0,2,,,,,2.0,,,,,,,,
hyw_armtdp-ud-train,5282,0,23,,,,,11.0,,,2.0,1.0,5.0,2.0,1.0,1.0
