Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,csubj,nmod,nsubj,obj,obl,reparandum,root,xcomp
zh_gsdsimp-ud-test,500,0,3,,,,,,,,,3.0,,,
zh_gsdsimp-ud-train,3997,0,47,,,,1.0,,2.0,2.0,,30.0,,12.0,
zh_gsdsimp-ud-dev,500,0,4,,1.0,,,,1.0,,,2.0,,,
zh_beginner-ud-test,2295,0,3,,,,,,,,,3.0,,,
zh_gsd-ud-dev,500,0,4,,1.0,,,,1.0,,,2.0,,,
zh_gsd-ud-test,500,0,3,,,,,,,,,3.0,,,
zh_gsd-ud-train,3997,0,47,,,,1.0,,2.0,2.0,,30.0,,12.0,
yue_hk-ud-test,1004,0,9,1.0,,,,,,,1.0,6.0,1.0,,
zh_pud-ud-test,1000,0,1,,,,,,,,,,,,1.0
zh_hk-ud-test,1004,0,6,1.0,,,,,,1.0,1.0,2.0,,1.0,
lzh_kyoto-ud-dev,6102,0,9,,,,,,,,,9.0,,,
lzh_kyoto-ud-train,74609,0,112,2.0,2.0,1.0,1.0,1.0,1.0,5.0,,94.0,,5.0,
lzh_kyoto-ud-test,5528,0,5,1.0,,,,,,,,4.0,,,
