Treebank,Number of Sentences,Failures,Total,acl,advcl,appos,ccomp,cop,csubj,dep,fixed,flat,nmod,nsubj,obj,obl,orphan,parataxis,root,xcomp
fi_ood-ud-test,2122,0,17,,7.0,,,,,,,,,,,3.0,,,2.0,5.0
sms_giellagas-ud-test,230,0,1,,,,,,,,,,,,,1.0,,,,
sms_giellagas-ud-train,20,0,1,,1.0,,,,,,,,,,,,,,,
et_ewt-ud-train,5444,0,78,1.0,36.0,,,,,,,,12.0,,,21.0,,2.0,5.0,1.0
et_ewt-ud-test,913,0,23,,14.0,,,,,,,,5.0,,,3.0,,,,1.0
et_ewt-ud-dev,833,0,8,,4.0,,,,,,,,,,,,,,2.0,2.0
gub_tudet-ud-test,1182,0,2,,,,,,,,,,,,1.0,1.0,,,,
olo_kkpp-ud-test,106,0,1,,,,,,,,1.0,,,,,,,,,
olo_kkpp-ud-train,19,0,2,,1.0,,,,,,,,1.0,,,,,,,
mdf_jr-ud-test,454,0,3,,,,,,,,,,1.0,,,2.0,,,,
fi_tdt-ud-train,12217,0,120,1.0,57.0,1.0,1.0,1.0,,,,,,,,12.0,,,9.0,38.0
fi_tdt-ud-test,1555,0,15,,7.0,,,,,,,,,,,2.0,,1.0,,5.0
fi_tdt-ud-dev,1364,0,8,,4.0,,,,,,,,,,,3.0,,,,1.0
myv_jr-ud-test,921,0,8,1.0,,,,,,,,,,,,5.0,,,1.0,1.0
myv_jr-ud-train,1217,0,11,,,,,,,,,,3.0,,,7.0,,,1.0,
kpv_ikdp-ud-test,214,0,1,,,,,,,,,,,,,1.0,,,,
kpv_lattice-ud-test,643,0,13,,,,,,,,,,4.0,1.0,,6.0,,,1.0,1.0
fi_pud-ud-test,1000,0,4,,2.0,,,,,,,,,,,2.0,,,,
et_edt-ud-dev,3128,0,52,1.0,20.0,,,1.0,,,,,9.0,,,18.0,,1.0,2.0,
et_edt-ud-train,24615,0,377,8.0,163.0,,2.0,,,,,1.0,59.0,,,110.0,1.0,5.0,25.0,3.0
et_edt-ud-test,3214,0,60,1.0,27.0,,1.0,,1.0,,,,11.0,,,16.0,,1.0,,2.0
koi_uh-ud-test,94,0,3,,,,,,,,,,,,,2.0,,,,1.0
sme_giella-ud-train,2257,0,7,,7.0,,,,,,,,,,,,,,,
sme_giella-ud-test,865,0,3,,3.0,,,,,,,,,,,,,,,
arr_tudet-ud-test,674,0,1,,,,,,,,,,,,,1.0,,,,
krl_kkpp-ud-test,228,0,2,,1.0,,,,,,,,,,,1.0,,,,
fi_ftb-ud-dev,1875,0,21,1.0,6.0,,4.0,,,,1.0,,5.0,,,,,,1.0,3.0
fi_ftb-ud-train,14981,0,172,2.0,57.0,,35.0,,1.0,1.0,7.0,,45.0,,,,,,17.0,7.0
fi_ftb-ud-test,1867,0,11,,6.0,,2.0,,,,1.0,,2.0,,,,,,,
ab_abnc-ud-test,263,0,2,,,,,,,,,,,,,2.0,,,,
