Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,cop,csubj,dep,dislocated,expl,fixed,flat,iobj,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
hu_szeged-ud-dev,441,0,62,,,,1.0,,4.0,,,,,,,3.0,,1.0,,,,53.0,,,,
hu_szeged-ud-test,449,0,32,,,,,,,,,,,,,3.0,,1.0,,,,28.0,,,,
hu_szeged-ud-train,910,0,64,,,,,,2.0,,,,,,,3.0,,2.0,,,,57.0,,,,
fi_ood-ud-test,2122,0,166,3.0,1.0,,2.0,,,,,,,,,,,22.0,,,,131.0,5.0,,2.0,
ess_sli-ud-test,309,0,32,,,4.0,,,,,,26.0,,,,,,,1.0,,,1.0,,,,
hit_hittb-ud-test,136,0,4,,,,,,,,,,,,,,,,,,,4.0,,,,
et_ewt-ud-train,5444,0,617,7.0,3.0,,4.0,,,,,1.0,,,1.0,7.0,,46.0,,3.0,,512.0,1.0,3.0,28.0,1.0
et_ewt-ud-test,913,0,126,1.0,1.0,,,,,,,,,,,6.0,,5.0,,2.0,,109.0,,1.0,1.0,
et_ewt-ud-dev,833,0,121,,1.0,,1.0,,,,,,,,,1.0,,9.0,,,,103.0,,1.0,5.0,
ml_ufal-ud-test,218,0,4,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,
olo_kkpp-ud-test,106,0,11,,,,,,,,,,,,,,,,,,,11.0,,,,
olo_kkpp-ud-train,19,0,3,,,,,,,,,,,,,,,,,,,2.0,,,1.0,
vep_vwt-ud-test,103,0,16,,1.0,,,,,,,,,,,,,,,,,15.0,,,,
fi_tdt-ud-train,12217,0,1516,55.0,3.0,,10.0,,1.0,,,,,,,26.0,,255.0,,6.0,1.0,1119.0,12.0,,20.0,8.0
fi_tdt-ud-test,1555,0,200,12.0,2.0,,,,,,,,,,,6.0,,31.0,,,,147.0,,,,2.0
fi_tdt-ud-dev,1364,0,204,6.0,,,1.0,,,,,,,,,1.0,,21.0,,1.0,,171.0,,,3.0,
tpn_tudet-ud-test,581,0,11,,,1.0,2.0,,,,,,,,,,,,,,,6.0,,,2.0,
fi_pud-ud-test,1000,0,156,6.0,,,3.0,,,,,,,,,14.0,,22.0,,,,111.0,,,,
et_edt-ud-dev,3128,0,518,7.0,2.0,,1.0,,,,,,,,,14.0,,46.0,,3.0,,439.0,1.0,1.0,4.0,
et_edt-ud-train,24615,0,4481,99.0,13.0,,28.0,5.0,2.0,,1.0,,,,,53.0,,564.0,1.0,31.0,,3641.0,11.0,15.0,16.0,1.0
et_edt-ud-test,3214,0,598,16.0,,,,,,,,,,,,12.0,,96.0,,7.0,,460.0,1.0,1.0,5.0,
wbp_ufal-ud-test,55,0,2,,,,,,,,,,,,,,,,,,,2.0,,,,
arr_tudet-ud-test,674,0,2,,,,,,,,,,,,,,,,,,,2.0,,,,
gn_oldtudet-ud-test,59,0,3,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
eu_bdt-ud-train,5396,0,419,,48.0,1.0,2.0,,2.0,1.0,,3.0,,,,3.0,,12.0,1.0,,2.0,341.0,2.0,,,1.0
eu_bdt-ud-test,1799,0,141,,24.0,,1.0,,,1.0,,1.0,,,,1.0,,,,,1.0,110.0,,,1.0,1.0
eu_bdt-ud-dev,1798,0,144,,19.0,,,,,3.0,,,,,,1.0,,7.0,,,1.0,111.0,,,1.0,1.0
fi_ftb-ud-dev,1875,0,160,3.0,1.0,,,,,,,,,,,1.0,,150.0,,1.0,,,,,4.0,
fi_ftb-ud-train,14981,0,1240,29.0,8.0,,,,5.0,,,2.0,,6.0,2.0,14.0,,1128.0,4.0,19.0,1.0,,,,22.0,
fi_ftb-ud-test,1867,0,154,2.0,1.0,,,,1.0,,,1.0,,,,4.0,,141.0,,2.0,,,,,2.0,
eme_tudet-ud-test,913,0,22,,,,,,,,,,1.0,,,,,,,,,17.0,,,4.0,
aqz_tudet-ud-test,343,0,21,,,,,,,,,,,,,,1.0,1.0,4.0,,2.0,9.0,,2.0,2.0,
gu_gujtb-ud-test,187,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,
