Treebank,Number of Sentences,Failures,Total,acl,advcl,appos,aux,ccomp,compound,cop,csubj,dep,fixed,flat,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root
es_gsd-ud-train,14187,0,8,,,,,,,,,,,,2.0,,,,5.0,,,1.0
fi_ood-ud-test,2122,0,3,,,,,,,,,,,,2.0,,,,1.0,,,
es_ancora-ud-train,14287,0,8,,,,,,,,,,,,1.0,,,2.0,4.0,,,1.0
es_ancora-ud-test,1721,0,4,,,1.0,,,,,,,,,,,,,3.0,,,
es_ancora-ud-dev,1654,0,3,,,,,,,,,,,,,,,1.0,2.0,,,
sms_giellagas-ud-test,230,0,8,,,,,,,,,,,,,,,,8.0,,,
et_ewt-ud-train,5444,0,650,8.0,7.0,3.0,,12.0,,,1.0,,,2.0,90.0,,,,485.0,3.0,3.0,36.0
et_ewt-ud-test,913,0,127,1.0,,,,,,,1.0,,,5.0,22.0,,,,91.0,1.0,1.0,5.0
et_ewt-ud-dev,833,0,95,,2.0,,,,,,,,,,11.0,,,1.0,73.0,,1.0,7.0
ml_ufal-ud-test,218,0,16,,,,,,,,,,,,2.0,,,,14.0,,,
apu_ufpa-ud-test,161,0,2,,,,,,,,,,,,,,,,2.0,,,
mr_ufal-ud-train,373,0,4,,,,,,,,,,,,,,,1.0,3.0,,,
olo_kkpp-ud-test,106,0,1,,,,,,,,,,,,,,,,1.0,,,
mdf_jr-ud-test,454,0,3,,,,,,,,,,,,,,,,3.0,,,
vep_vwt-ud-test,103,0,8,,,,,,,,,,,1.0,1.0,,,,6.0,,,
es_pud-ud-test,1000,0,1,,,,,,,,,,,,,,,1.0,,,,
fi_tdt-ud-train,12217,0,27,,,,,,,,,,,,14.0,,,,13.0,,,
fi_tdt-ud-test,1555,0,1,,,,,,,,,,,,1.0,,,,,,,
fi_tdt-ud-dev,1364,0,4,,,,,,,,,,,,,,,,4.0,,,
myv_jr-ud-test,921,0,2,,,,,,,,,,,,,,,,2.0,,,
myv_jr-ud-train,1217,0,3,1.0,,,,,,,,,,,1.0,,,,1.0,,,
kpv_ikdp-ud-test,214,0,6,,,,,,,,,,,,,1.0,,,5.0,,,
kpv_lattice-ud-test,643,0,28,,,,,,,,,,,1.0,2.0,1.0,,,24.0,,,
fi_pud-ud-test,1000,0,4,,,,,,,,,,,,3.0,,1.0,,,,,
et_edt-ud-dev,3128,0,502,1.0,7.0,5.0,,3.0,,,3.0,,,8.0,122.0,,,,329.0,2.0,4.0,18.0
et_edt-ud-train,24615,0,3848,14.0,41.0,27.0,,30.0,,,3.0,,,76.0,951.0,,4.0,,2531.0,16.0,25.0,130.0
et_edt-ud-test,3214,0,471,3.0,2.0,3.0,,2.0,,,,,,10.0,124.0,1.0,,,308.0,3.0,3.0,12.0
wbp_ufal-ud-test,55,0,1,,,,,,,,,,,,,,,,1.0,,,
koi_uh-ud-test,94,0,6,,,,,,,,,,,,1.0,,,,5.0,,,
sme_giella-ud-train,2257,0,188,,,1.0,,,,,,,,2.0,16.0,,13.0,,156.0,,,
sme_giella-ud-test,865,0,118,,,2.0,,,,,,,,,21.0,,2.0,,93.0,,,
arr_tudet-ud-test,674,0,21,,,,,,,,,,,,,,,,2.0,,,19.0
ta_mwtt-ud-test,534,0,11,,,,,,,,,,,,,,,,11.0,,,
ta_ttb-ud-train,400,0,7,,,,,,,,,,,,,,,,7.0,,,
ta_ttb-ud-dev,80,0,2,,,,,,,,,,,,,,,,2.0,,,
ta_ttb-ud-test,120,0,3,,,,,,,,,,,,1.0,,,,2.0,,,
krl_kkpp-ud-test,228,0,1,,,,,,,,,,,,1.0,,,,,,,
eu_bdt-ud-train,5396,0,320,,1.0,,5.0,,1.0,1.0,,1.0,,12.0,12.0,,1.0,,283.0,3.0,,
eu_bdt-ud-test,1799,0,124,,,,,,,,,1.0,,10.0,6.0,,,,107.0,,,
eu_bdt-ud-dev,1798,0,98,,,,,,1.0,,,,,4.0,4.0,,,,89.0,,,
fi_ftb-ud-dev,1875,0,7,,,,,,,,,,,,6.0,,1.0,,,,,
fi_ftb-ud-train,14981,0,59,2.0,,,,,,,,,,,49.0,,2.0,,,,,6.0
fi_ftb-ud-test,1867,0,6,1.0,,,,,,,,,,,5.0,,,,,,,
bxr_bdt-ud-test,908,0,96,1.0,1.0,,,,1.0,,,,1.0,8.0,55.0,2.0,,9.0,11.0,,1.0,6.0
bej_nsc-ud-test,380,0,21,,,,,,,,,8.0,,,,,,,13.0,,,
