Treebank,Number of Sentences,Failures,Total,acl,advcl,appos,aux,ccomp,cop,csubj,dep,det,flat,iobj,nmod,nsubj,obj,obl,parataxis,root,xcomp
ess_sli-ud-test,309,0,40,,,,,,,,39.0,,,,,1,,,,,
mr_ufal-ud-dev,46,0,9,,,,,,,,,,,,,7,,2.0,,,
mr_ufal-ud-test,47,0,6,,,,,,,,,,,,,6,,,,,
mr_ufal-ud-train,373,0,53,,,,,,,,,,,,,52,,1.0,,,
wbp_ufal-ud-test,55,0,30,,,,,,,,,,,,1.0,29,,,,,
ka_glc-ud-test,151,0,23,,,,,1.0,,,,1.0,,,3.0,18,,,,,
eu_bdt-ud-train,5396,0,2272,,3.0,18.0,10.0,,3.0,17.0,3.0,,194.0,,19.0,1978,18.0,6.0,,2.0,1.0
eu_bdt-ud-test,1799,0,743,1.0,,3.0,5.0,,1.0,1.0,1.0,,70.0,,4.0,648,6.0,,1.0,2.0,
eu_bdt-ud-dev,1798,0,739,,,9.0,3.0,,2.0,7.0,,,65.0,2.0,5.0,637,7.0,1.0,1.0,,
gu_gujtb-ud-test,187,0,6,,,,,,,,,,1.0,,,5,,,,,
