Treebank,Number of Sentences,Failures,Total,acl,advcl,appos,ccomp,fixed,flat,nmod,nsubj,obl,orphan,parataxis,root,xcomp
hu_szeged-ud-dev,441,0,4,,,,,,,1.0,,3.0,,,,
hu_szeged-ud-test,449,0,9,,,,,,,,,9.0,,,,
hu_szeged-ud-train,910,0,5,,,,,,,1.0,,4.0,,,,
fi_ood-ud-test,2122,0,86,,1.0,,,,,1.0,2.0,66.0,3.0,6.0,7.0,
sms_giellagas-ud-test,230,0,17,,,,,,,,,,,,1.0,16.0
et_ewt-ud-train,5444,0,51,,,1.0,,,,4.0,,44.0,,,,2.0
et_ewt-ud-test,913,0,12,1.0,,,,,,1.0,,9.0,,1.0,,
et_ewt-ud-dev,833,0,5,,,,,,,,,5.0,,,,
olo_kkpp-ud-test,106,0,9,1.0,,,,,,,,5.0,,,3.0,
olo_kkpp-ud-train,19,0,1,,,,,,,,,1.0,,,,
vep_vwt-ud-test,103,0,4,,,,,,,,,3.0,,,1.0,
fi_tdt-ud-train,12217,0,1256,18.0,11.0,6.0,11.0,,79.0,102.0,,918.0,7.0,,102.0,2.0
fi_tdt-ud-test,1555,0,180,3.0,2.0,3.0,,,25.0,23.0,,114.0,2.0,,8.0,
fi_tdt-ud-dev,1364,0,119,5.0,2.0,,,,15.0,4.0,,86.0,1.0,,6.0,
fi_pud-ud-test,1000,0,205,3.0,4.0,,1.0,,3.0,17.0,,156.0,2.0,,10.0,9.0
et_edt-ud-dev,3128,0,77,1.0,,,,,,8.0,,52.0,,,3.0,13.0
et_edt-ud-train,24615,0,463,,1.0,,1.0,,,49.0,,348.0,3.0,2.0,2.0,57.0
et_edt-ud-test,3214,0,89,,,,,,,4.0,,78.0,1.0,,1.0,5.0
sme_giella-ud-train,2257,0,105,2.0,2.0,,,,,,,14.0,,1.0,20.0,66.0
sme_giella-ud-test,865,0,55,,2.0,,,,,,,6.0,,2.0,8.0,37.0
ka_glc-ud-test,151,0,7,,,,,,,,,7.0,,,,
krl_kkpp-ud-test,228,0,25,,2.0,,,,,1.0,,16.0,,,6.0,
eu_bdt-ud-train,5396,0,14,1.0,,,,,,,,7.0,,,1.0,5.0
eu_bdt-ud-test,1799,0,6,,,,,,,2.0,,3.0,,,,1.0
eu_bdt-ud-dev,1798,0,4,,,,,,,,,1.0,,,,3.0
fi_ftb-ud-dev,1875,0,85,,,,,,,82.0,,,,,3.0,
fi_ftb-ud-train,14981,0,620,,6.0,,,2.0,,601.0,,,,,11.0,
fi_ftb-ud-test,1867,0,84,,,,,,,83.0,,,,,1.0,
ab_abnc-ud-test,263,0,4,,,,,,,,,2.0,,,,2.0
