Treebank,Number of Sentences,Failures,Total,_,acl,advcl,appos,ccomp,compound,conj,csubj,dep,discourse,dislocated,fixed,flat,iobj,list,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
sl_ssj-ud-test,1282,0,1414,,,1.0,21.0,,,,,,,,,,,,948.0,43.0,,131.0,253.0,2.0,5.0,,10.0,,
sl_ssj-ud-dev,1250,0,1519,,2.0,1.0,13.0,2.0,,,,,,,,,,,1064.0,43.0,,134.0,235.0,13.0,6.0,,6.0,,
sl_ssj-ud-train,10903,0,11688,,4.0,7.0,145.0,2.0,,,,,1.0,,,,3.0,17.0,7873.0,407.0,2.0,1137.0,1922.0,51.0,38.0,,75.0,,4.0
xcl_caval-ud-train,3185,0,1066,,1.0,2.0,26.0,10.0,,,,,,,,,1.0,,707.0,,,6.0,295.0,7.0,,,6.0,,5.0
xcl_caval-ud-dev,411,0,131,,,,3.0,,,,,,,,,,,,88.0,,,1.0,37.0,2.0,,,,,
xcl_caval-ud-test,550,0,161,,,,8.0,2.0,,,,,,,,,,,99.0,,,,48.0,1.0,,,2.0,,1.0
hu_szeged-ud-dev,441,0,73,,,,3.0,,,,,,,,,,,,70.0,,,,,,,,,,
hu_szeged-ud-test,449,0,50,,,,1.0,,,,,,,,,,1.0,,48.0,,,,,,,,,,
hu_szeged-ud-train,910,0,87,,,,1.0,,,,,,,,,,1.0,,85.0,,,,,,,,,,
no_bokmaal-ud-dev,2409,0,175,,,,,,,,,,,,,1.0,,,172.0,,,,2.0,,,,,,
no_bokmaal-ud-test,1939,0,80,,,,,,1.0,,,,,,,1.0,,,75.0,,,,3.0,,,,,,
no_bokmaal-ud-train,15696,0,1122,,,,1.0,,,,,,,,,16.0,,,1067.0,1.0,,1.0,32.0,,,,2.0,,2.0
el_gud-ud-train,1071,0,156,,,,,,1.0,,,,,,,1.0,,,136.0,,,,16.0,,,,,,2.0
el_gud-ud-test,736,0,129,,,,,,,,,,,,,1.0,,,116.0,,,2.0,10.0,,,,,,
tr_pud-ud-test,1000,0,482,,,2.0,2.0,,,,,,,1.0,,4.0,,,344.0,116.0,,1.0,12.0,,,,,,
fi_ood-ud-test,2122,0,805,,1.0,1.0,5.0,,1.0,,,,,,,,,,449.0,45.0,,154.0,144.0,1.0,,,4.0,,
de_hdt-ud-test,18459,0,2029,,,1.0,15.0,,,,,,,,,,,,1881.0,2.0,,8.0,117.0,,,,5.0,,
de_hdt-ud-train,153035,0,18297,,1.0,3.0,150.0,,,,,,,,,,,,17069.0,19.0,,64.0,958.0,,2.0,,31.0,,
de_hdt-ud-dev,18434,0,3485,,,,30.0,,,,,,,,,,,,3314.0,1.0,,21.0,113.0,,,,6.0,,
sga_dipsgg-ud-test,64,0,21,,,,,,,,,,,,,,,,20.0,,,,,,,,1.0,,
sv_talbanken-ud-dev,504,0,141,,,,,,,,,,,,3.0,,,,133.0,,,1.0,4.0,,,,,,
sv_talbanken-ud-test,1219,0,185,,,,,,,,,,,,2.0,,,,182.0,,,,,,1.0,,,,
sv_talbanken-ud-train,4303,0,623,,,,,,,,,,,,9.0,,,,605.0,,,1.0,7.0,,1.0,,,,
ar_nyuad-ud-train,15789,0,108728,,,,,,,,,,,,,,10568.0,,50865.0,210.0,,46740.0,,,,,345.0,,
ar_nyuad-ud-dev,1986,0,13522,,,,,,,,,,,,,,1312.0,,6354.0,19.0,,5785.0,,,,,52.0,,
ar_nyuad-ud-test,1963,0,13523,,,,,,,,,,,,,,1313.0,,6221.0,28.0,,5935.0,,,,,26.0,,
pl_pdb-ud-test,2215,0,2627,,,1.0,12.0,,,,,,,,23.0,7.0,89.0,,1402.0,60.0,,365.0,652.0,,6.0,,10.0,,
pl_pdb-ud-train,17722,0,22460,,,8.0,101.0,4.0,,,1.0,,,,235.0,73.0,750.0,,12024.0,544.0,,2985.0,5603.0,12.0,61.0,,52.0,,7.0
pl_pdb-ud-dev,2215,0,2799,,,1.0,13.0,,,,,,,,20.0,8.0,81.0,,1502.0,64.0,,357.0,733.0,1.0,8.0,,7.0,,4.0
uk_iu-ud-dev,673,0,1202,,1.0,3.0,18.0,1.0,1.0,,,,,,,6.0,,,855.0,16.0,,74.0,210.0,4.0,8.0,,5.0,,
uk_iu-ud-train,5521,0,6810,,5.0,21.0,128.0,3.0,4.0,,1.0,,,1.0,1.0,32.0,1.0,,4341.0,88.0,,547.0,1510.0,23.0,43.0,,59.0,,2.0
uk_iu-ud-test,898,0,1769,,,2.0,33.0,2.0,,,,,,,,11.0,,,1332.0,20.0,,109.0,243.0,5.0,11.0,,1.0,,
sa_vedic-ud-test,2709,0,473,,2.0,7.0,7.0,10.0,1.0,,,,,,,40.0,1.0,,282.0,1.0,,22.0,45.0,28.0,,,26.0,,1.0
sa_vedic-ud-train,21477,0,3832,,48.0,142.0,16.0,50.0,9.0,,2.0,,,1.0,,376.0,23.0,,2511.0,11.0,,183.0,214.0,156.0,5.0,,82.0,3.0,
sa_vedic-ud-dev,2996,0,501,,3.0,10.0,1.0,2.0,,,2.0,,,,,38.0,5.0,,342.0,5.0,,22.0,24.0,21.0,2.0,,24.0,,
bn_bru-ud-test,56,0,6,,,,,,1.0,,,,,,,,,,5.0,,,,,,,,,,
no_nynorsk-ud-dev,1890,0,32,,,,,,,,,,,,,,,,27.0,,,,5.0,,,,,,
no_nynorsk-ud-test,1511,0,51,,,,,,,,,,,,,,,,43.0,,,,7.0,,,,1.0,,
no_nynorsk-ud-train,14174,0,437,,,,,1.0,1.0,,,,,,,5.0,,,340.0,1.0,,,85.0,,1.0,,3.0,,
hr_set-ud-dev,960,0,1741,,1.0,1.0,15.0,,,,,,2.0,,,50.0,1.0,,1168.0,42.0,,79.0,339.0,8.0,26.0,,8.0,,1.0
hr_set-ud-train,6914,0,11691,,11.0,3.0,107.0,12.0,,,1.0,,8.0,,5.0,238.0,9.0,4.0,8013.0,324.0,1.0,433.0,2267.0,9.0,151.0,,69.0,,26.0
hr_set-ud-test,1136,0,1946,,2.0,2.0,16.0,3.0,,,,,1.0,,2.0,43.0,,,1355.0,45.0,1.0,50.0,384.0,2.0,28.0,,10.0,,2.0
orv_rnc-ud-dev,943,0,1930,,2.0,5.0,80.0,1.0,,,,,,,,4.0,5.0,,813.0,362.0,9.0,127.0,407.0,24.0,8.0,2.0,81.0,,
orv_rnc-ud-train,1868,0,2728,,12.0,5.0,162.0,1.0,2.0,,,,1.0,,,9.0,3.0,7.0,1343.0,157.0,1.0,254.0,598.0,80.0,9.0,1.0,79.0,2.0,2.0
orv_rnc-ud-test,717,0,985,,2.0,1.0,95.0,1.0,1.0,,,,,,,,,,314.0,78.0,2.0,164.0,302.0,13.0,2.0,,8.0,1.0,1.0
cpg_tuecl-ud-test,350,0,49,,,,,,,,,,,1.0,,,,,45.0,1.0,,,2.0,,,,,,
la_circse-ud-test,1263,0,631,,,3.0,,1.0,,,,,,,,3.0,,,583.0,3.0,,2.0,29.0,3.0,,,4.0,,
is_pud-ud-test,1000,0,504,,3.0,2.0,10.0,1.0,2.0,,,,,,,2.0,,,372.0,1.0,,10.0,93.0,,3.0,,5.0,,
grc_perseus-ud-dev,1137,0,1049,,2.0,2.0,4.0,,,,,,,,,,,,531.0,109.0,,109.0,277.0,,,,2.0,1.0,12.0
grc_perseus-ud-train,11476,0,6836,,7.0,4.0,10.0,,,,,,,,,,,,3632.0,291.0,,1017.0,1805.0,,,,23.0,12.0,35.0
grc_perseus-ud-test,1306,0,1183,,,1.0,6.0,,,,,,,,,,,,634.0,65.0,,103.0,351.0,1.0,,,5.0,5.0,12.0
qpm_philotis-ud-train,980,0,66,,,,,,,,,,,,,,36.0,,20.0,1.0,,2.0,7.0,,,,,,
qpm_philotis-ud-dev,635,0,39,,,,,,,,,2.0,,,,,19.0,,3.0,4.0,,8.0,1.0,,,,2.0,,
qpm_philotis-ud-test,635,0,34,,,1.0,,,,,,,,,,,19.0,,6.0,1.0,,,6.0,,,,,1.0,
tr_atis-ud-dev,572,0,50,,,,,,,,,,,,,1.0,,,48.0,,,,1.0,,,,,,
tr_atis-ud-train,4274,0,318,,,,,2.0,,,8.0,,,,1.0,24.0,,,266.0,15.0,,,2.0,,,,,,
tr_atis-ud-test,586,0,46,,,,,,,,7.0,,,,,3.0,,,33.0,3.0,,,,,,,,,
la_perseus-ud-test,939,0,185,,3.0,,1.0,,,,,,,,,,,,169.0,,,7.0,3.0,,,,1.0,,1.0
la_perseus-ud-train,1334,0,461,,,,2.0,,,,,,,,,,,,432.0,5.0,,20.0,1.0,,,,1.0,,
tr_kenet-ud-dev,1646,0,461,,,,,1.0,1.0,,,,1.0,,,2.0,,,407.0,44.0,,3.0,,,2.0,,,,
tr_kenet-ud-test,1643,0,452,,2.0,,,4.0,14.0,,,,,,,2.0,,4.0,316.0,84.0,,21.0,5.0,,,,,,
tr_kenet-ud-train,15398,0,4009,,6.0,5.0,1.0,12.0,36.0,,9.0,,,,1.0,19.0,1.0,2.0,3418.0,416.0,3.0,52.0,24.0,,,,2.0,,2.0
sms_giellagas-ud-test,230,0,35,,,,,,,,,,,,,,,,12.0,1.0,,2.0,18.0,1.0,,,1.0,,
sms_giellagas-ud-train,20,0,5,,,,,,,,,,,,,,,,1.0,,,2.0,2.0,,,,,,
sk_snk-ud-dev,1060,0,900,,,,5.0,,,,,,,,,,,,688.0,3.0,,1.0,201.0,,,,2.0,,
sk_snk-ud-test,1061,0,894,,,,7.0,,,,,3.0,,,,,,,655.0,2.0,,1.0,222.0,1.0,,,1.0,,2.0
sk_snk-ud-train,8483,0,3454,,,,13.0,,,,,11.0,,,1.0,,,,2368.0,18.0,,15.0,1004.0,5.0,,,16.0,,3.0
lt_hse-ud-train,153,0,142,,2.0,,1.0,,,,,,,,,,,,84.0,12.0,,16.0,21.0,1.0,3.0,,2.0,,
lt_hse-ud-test,55,0,80,,1.0,,,,,,,,,,,,,,59.0,6.0,,9.0,4.0,,1.0,,,,
lt_hse-ud-dev,55,0,70,,,,,,,,,,,,,,,,36.0,4.0,,15.0,11.0,,3.0,,1.0,,
ess_sli-ud-test,309,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
ky_tuecl-ud-test,145,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
hit_hittb-ud-test,136,0,28,,,,,,,,,,,,,,,,25.0,,,,2.0,,,,,,1.0
sa_ufal-ud-test,230,0,22,,,1.0,,,,,,,,,,,1.0,,13.0,3.0,,,3.0,,,,1.0,,
be_hse-ud-train,22853,0,18945,4.0,7.0,10.0,138.0,9.0,1.0,,2.0,1.0,,,13.0,1096.0,2.0,12.0,12687.0,778.0,109.0,752.0,2753.0,23.0,114.0,2.0,428.0,,4.0
be_hse-ud-dev,1301,0,1245,4.0,1.0,,12.0,2.0,,,,,,,3.0,83.0,,,839.0,45.0,6.0,37.0,174.0,,15.0,,24.0,,
