Treebank,Number of Sentences,Failures,Total,acl,advcl,appos,ccomp,compound,csubj,dep,flat,nmod,nsubj,obj,obl,orphan,parataxis,root,xcomp
hu_szeged-ud-dev,441,0,6,,,,,,,,,2.0,,,4.0,,,,
hu_szeged-ud-test,449,0,8,,,,,,,,,,,,8.0,,,,
hu_szeged-ud-train,910,0,9,,,,,2.0,,,,,,,7.0,,,,
fi_ood-ud-test,2122,0,48,,,,,1.0,,,,,,,24.0,5.0,,1.0,17.0
et_ewt-ud-train,5444,0,273,2.0,8.0,1.0,3.0,,,,,13.0,,,118.0,2.0,5.0,34.0,87.0
et_ewt-ud-test,913,0,58,2.0,,,,,,,,5.0,,,24.0,1.0,1.0,5.0,20.0
et_ewt-ud-dev,833,0,39,,,,,,,,1.0,1.0,,,12.0,,1.0,4.0,20.0
gub_tudet-ud-test,1182,0,1,,,,1.0,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,9,,,,,,,,,,,,6.0,3.0,,,
mdf_jr-ud-test,454,0,21,,,,,,,,,2.0,,,8.0,,,1.0,10.0
vep_vwt-ud-test,103,0,3,,,,,,,,,,,,1.0,,,,2.0
fi_tdt-ud-train,12217,0,616,1.0,,3.0,1.0,1.0,,,,101.0,,,232.0,6.0,,6.0,265.0
fi_tdt-ud-test,1555,0,66,,,,,,,,,15.0,,,22.0,,,1.0,28.0
fi_tdt-ud-dev,1364,0,57,,,,1.0,,,,,14.0,,,14.0,,,1.0,27.0
myv_jr-ud-test,921,0,30,3.0,2.0,1.0,,,,,,,,,10.0,,,,14.0
myv_jr-ud-train,1217,0,27,1.0,5.0,,,,,,,,,,5.0,,,3.0,13.0
kpv_ikdp-ud-test,214,0,2,,,,,,,,,,,,2.0,,,,
kpv_lattice-ud-test,643,0,1,,,,,,,,,,,,1.0,,,,
tpn_tudet-ud-test,581,0,61,2.0,3.0,,,,,1.0,,4.0,1.0,1.0,43.0,,1.0,4.0,1.0
fi_pud-ud-test,1000,0,36,,,1.0,,,,,,3.0,,,9.0,,,,23.0
et_edt-ud-dev,3128,0,278,4.0,2.0,,1.0,,1.0,,1.0,22.0,,,96.0,,4.0,47.0,100.0
et_edt-ud-train,24615,0,2190,49.0,32.0,3.0,26.0,,5.0,,,215.0,,,817.0,19.0,18.0,315.0,691.0
et_edt-ud-test,3214,0,301,6.0,4.0,,4.0,,,,,26.0,,,136.0,,2.0,28.0,95.0
krl_kkpp-ud-test,228,0,7,,,,,,,,,,,,7.0,,,,
fi_ftb-ud-dev,1875,0,40,,,,,,,,,40.0,,,,,,,
fi_ftb-ud-train,14981,0,363,,1.0,,,9.0,,,,346.0,,2.0,,,,4.0,1.0
fi_ftb-ud-test,1867,0,29,,,,,,,,,29.0,,,,,,,
eme_tudet-ud-test,913,0,43,,,1.0,,,,,,,,11.0,20.0,,,11.0,
aqz_tudet-ud-test,343,0,13,,,1.0,,,,,,,,,,,,12.0,
