Treebank,Number of Sentences,Failures,Total,acl,advcl,appos,ccomp,compound,conj,csubj,dep,discourse,dislocated,fixed,flat,iobj,nmod,nsubj,obj,obl,orphan,parataxis,root,vocative,xcomp
el_gud-ud-train,1071,0,26,,,4.0,,,,,,,,,,,2.0,,,1.0,,,,19.0,
el_gud-ud-test,736,0,6,,,1.0,,,,,,,,,,,,,,,,,,5.0,
fa_seraji-ud-train,4798,0,4,,,,,,,,,,,,,,,,,,,1.0,3.0,,
sga_dipsgg-ud-test,64,0,2,,,,,,,,,,,,,,,,,,,1.0,,1.0,
pl_pdb-ud-test,2215,0,28,,,7.0,,,,,,,,,,,,,,,,,,21.0,
pl_pdb-ud-train,17722,0,153,,,36.0,,,,,,,,,,,,,,,,4.0,,113.0,
pl_pdb-ud-dev,2215,0,29,,,10.0,,,,,,,,,,,,,,,,1.0,,18.0,
uk_iu-ud-dev,673,0,1,,,,,,,,,,,,,,,,,,,,,1.0,
uk_iu-ud-train,5521,0,87,,,4.0,,,,,,,,,8.0,,,,,,1.0,2.0,7.0,65.0,
uk_iu-ud-test,898,0,5,,,,,,,,,,,,,,,,,,,,1.0,4.0,
sa_vedic-ud-test,2709,0,234,4.0,3.0,,5.0,,,,,,,,54.0,,2.0,,,,5.0,,5.0,156.0,
sa_vedic-ud-train,21477,0,2027,15.0,75.0,16.0,64.0,,,8.0,,,,,367.0,,70.0,,,3.0,54.0,9.0,18.0,1328.0,
sa_vedic-ud-dev,2996,0,277,2.0,7.0,1.0,6.0,,,,,,,,47.0,,7.0,,1.0,,11.0,,2.0,193.0,
kmr_mg-ud-test,734,0,1,,,,,,,,,,,,,,,,1.0,,,,,,
hr_set-ud-dev,960,0,1,,,,,,,,,,,,,,,1.0,,,,,,,
hr_set-ud-train,6914,0,15,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,1.0,,10.0,
hr_set-ud-test,1136,0,3,,,,,,,,,,,,,,,,,,,,,3.0,
orv_rnc-ud-dev,943,0,26,,,,,,,,,,,,,,,,,,,,2.0,24.0,
orv_rnc-ud-train,1868,0,120,,,2.0,,,,,,,,,,,,,,,,2.0,2.0,114.0,
orv_rnc-ud-test,717,0,34,,,4.0,,,,,,,,,,,,,,,,,,30.0,
cpg_tuecl-ud-test,350,0,14,,,1.0,,,,,,,,,,,,,,,,,1.0,12.0,
la_circse-ud-test,1263,0,106,,3.0,3.0,,,,,,1.0,,,,,3.0,,,,,,3.0,91.0,2.0
grc_perseus-ud-dev,1137,0,25,,,,,,,,,,,,,,4.0,,4.0,,,,,17.0,
grc_perseus-ud-train,11476,0,750,,,,,,,,,,,,,,71.0,,6.0,14.0,,,,659.0,
grc_perseus-ud-test,1306,0,65,,,,,,,,,,,,,,8.0,,3.0,1.0,,,,53.0,
qpm_philotis-ud-train,980,0,55,,,1.0,,,,,,2.0,,,,,4.0,2.0,,,,,1.0,45.0,
qpm_philotis-ud-dev,635,0,21,,,,,,,,,,,,,,1.0,,,,,,1.0,19.0,
qpm_philotis-ud-test,635,0,30,,,,,,,,,3.0,,,,2.0,1.0,,,,,1.0,1.0,22.0,
la_perseus-ud-test,939,0,20,,,,,,,,,,,,,,,,,,,,,20.0,
la_perseus-ud-train,1334,0,18,,,,,,,,,,,,,,,1.0,,,,,,17.0,
sk_snk-ud-train,8483,0,18,,,,,,,,,,,,,,1.0,,,,,,1.0,16.0,
sa_ufal-ud-test,230,0,12,,,,,,,,,,,,,,,,,,,,,12.0,
be_hse-ud-train,22853,0,10,,,,,,,,,,,,,,,1.0,,,,,1.0,8.0,
be_hse-ud-dev,1301,0,1,,,,,,,,,,,,,,,,,,,,,1.0,
cs_pud-ud-test,1000,0,1,,,,,,,,,,,,,,,,,,,,,1.0,
orv_ruthenian-ud-test,390,0,10,,,2.0,,,,,,,,,,,,3.0,,,,,,5.0,
orv_ruthenian-ud-train,2789,0,6,,,1.0,,,,,,,,,,,,3.0,,,,,,2.0,
orv_ruthenian-ud-dev,344,0,1,,,,,,,,,,,,,,,,,,,,,1.0,
ml_ufal-ud-test,218,0,1,,,,,,,,,,,,,,,,,,,,1.0,,
egy_ujaen-ud-test,721,0,1,,,,,,,,,,,,,,,,,,,,,1.0,
ro_nonstandard-ud-test,1052,0,42,,,2.0,,,,,,,,,,,1.0,,2.0,,,,1.0,36.0,
ro_nonstandard-ud-dev,1052,0,43,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,39.0,1.0
ro_nonstandard-ud-train,24121,0,1251,,1.0,44.0,,1.0,,,,,,,,18.0,26.0,8.0,6.0,4.0,,1.0,1.0,1140.0,1.0
ro_simonero-ud-train,3747,0,2,,,2.0,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,1,,,,,,,,,,,,,,,,,,,,,1.0,
mr_ufal-ud-test,47,0,1,,,,,,,,,,,,,,,,,,,,,1.0,
ro_tuecl-ud-test,210,0,3,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,
lt_alksnis-ud-test,684,0,7,,,,,,,,,,,,1.0,,,,,,,6.0,,,
lt_alksnis-ud-dev,617,0,4,,,,,,,,,,,,,,,,,,,4.0,,,
lt_alksnis-ud-train,2341,0,4,,,,,,,,,,,,,,,,,,,4.0,,,
vi_tuecl-ud-test,100,0,1,,,,,,,,,,,,,,,,,,,,,1.0,
cu_proiel-ud-train,18327,0,926,1.0,,80.0,,,,,,,1.0,,,,,,2.0,1.0,,,3.0,836.0,2.0
cu_proiel-ud-test,2096,0,115,,,11.0,,,,,,,,,,,,,,,,,1.0,103.0,
cu_proiel-ud-dev,2205,0,133,,,7.0,,,,,,,,,,,,,1.0,,,,9.0,116.0,
la_llct-ud-train,7289,0,14,,,9.0,,,,,,,,,,,1.0,3.0,,,,,,1.0,
sr_set-ud-train,3328,0,2,,,,,,,,,,,,,,1.0,,,,,,,1.0,
la_proiel-ud-test,1260,0,20,,,2.0,,,,,,,,,,,,,,,,,,18.0,
la_proiel-ud-dev,1233,0,23,,,3.0,,,,,,,,,,,,,,,,,,20.0,
la_proiel-ud-train,16196,0,420,,,42.0,,,,,,,4.0,,,,,,,,,,3.0,371.0,
grc_proiel-ud-test,1047,0,28,,,1.0,,,,,,,2.0,,,,1.0,,,,,2.0,,22.0,
grc_proiel-ud-train,15016,0,534,,,36.0,,,,,,,1.0,,,,12.0,,1.0,,,,2.0,480.0,2.0
grc_proiel-ud-dev,1019,0,31,,,3.0,,,,,,,,,,,1.0,,,,,,,27.0,
ru_taiga-ud-train,16045,0,9,,,,,,,,,,,1.0,,,,,,,,,,8.0,
ru_taiga-ud-dev,946,0,3,,,,,,,,,,,,,,,,,,,1.0,2.0,,
ru_taiga-ud-test,881,0,1,,,,,,,,,,,,,,,,,,,,,1.0,
tpn_tudet-ud-test,581,0,2,,,,,,,,2.0,,,,,,,,,,,,,,
ga_idt-ud-train,4005,0,13,,,,,,,,,,,,,,,,,,,,,13.0,
ga_idt-ud-test,454,0,6,,,,,,,,,,,,,,,,,,,,1.0,5.0,
ga_idt-ud-dev,451,0,10,,,,,,,,,,,,,,,,,,,,,10.0,
ro_art-ud-test,50,0,2,,,,,,,,,,,,,,,,,,,,,2.0,
ru_syntagrus-ud-train,69630,0,11,,,,,,,,,,,,,,,,,,,,,11.0,
ru_syntagrus-ud-dev,8906,0,3,,,,,,,,,,,,,,,,,,,,1.0,2.0,
ru_syntagrus-ud-test,8800,0,2,,,,,,,,,,,,,,,,,,,,,2.0,
grc_ptnk-ud-train,727,0,23,,,1.0,,,,,,,,,,,,,,,,,,22.0,
grc_ptnk-ud-dev,439,0,8,,,1.0,,,,,,,,,,,,,2.0,2.0,,,,3.0,
grc_ptnk-ud-test,410,0,29,,,,3.0,,,,,,,,,,1.0,,1.0,,,,,24.0,
orv_birchbark-ud-train,1045,0,38,,,2.0,,,,,,,,,,,,,,,,,,36.0,
orv_birchbark-ud-dev,1062,0,76,,,2.0,,,,,1.0,,,,,,,,,,,,2.0,71.0,
orv_birchbark-ud-test,1007,0,62,,,3.0,,,,,,,,,,,,2.0,,,,,,57.0,
ru_poetry-ud-test,728,0,2,,,,,,,,,,,,,,,,,,,,1.0,1.0,
ru_poetry-ud-dev,789,0,2,,,,,,,,,,,,,,,,,,,,,2.0,
ru_poetry-ud-train,3569,0,5,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,2.0,
cs_fictree-ud-dev,1309,0,19,,,,,,,,,,,,,,2.0,,,,,,,17.0,
cs_fictree-ud-train,10160,0,191,,,1.0,,,,,,,,,,,17.0,,,2.0,,,13.0,158.0,
cs_fictree-ud-test,1291,0,35,,,,,,,,,,,,,,7.0,,,,,,6.0,22.0,
la_udante-ud-train,926,0,24,,,,2.0,,,,,,,,,,,,,,,,1.0,21.0,
la_udante-ud-test,419,0,10,,,,,,,,,,,,,,,,,,,,3.0,7.0,
la_udante-ud-dev,376,0,13,,,3.0,,,1.0,,,,,,,,,,,,,,2.0,7.0,
ro_rrt-ud-test,729,0,3,,,,,,,,,,,,,,1.0,,,,,,,2.0,
ro_rrt-ud-train,8043,0,43,,,,,,,,,,,,6.0,,8.0,2.0,2.0,,,1.0,3.0,20.0,1.0
el_gdt-ud-test,456,0,16,,,,,,,,,,,,,,6.0,,,,1.0,,,9.0,
el_gdt-ud-train,1662,0,110,,,,,,,,,,,,1.0,,51.0,,,1.0,,,,57.0,
el_gdt-ud-dev,403,0,17,,,,,,,,,,,,,,10.0,,,,,,,7.0,
gd_arcosg-ud-test,545,0,5,,,,,,,,,,,,,,,,,,,,1.0,4.0,
gd_arcosg-ud-train,3541,0,16,,,,,,,,,1.0,,,,,,,,,,,,15.0,
gd_arcosg-ud-dev,655,0,8,,,,,,,,,,,,,,,,,,,,,8.0,
got_proiel-ud-dev,985,0,42,,,5.0,,,,,,,,,,,,,,,,,,37.0,
got_proiel-ud-train,3387,0,102,,,1.0,,,,,,,,,,,1.0,,,,,,4.0,96.0,
got_proiel-ud-test,1029,0,54,,,2.0,,,,,,,,,,,,,1.0,,,,1.0,50.0,
cs_pdt-ud-test,10146,0,10,,,,,,,,,,,,,,2.0,,,2.0,,,,6.0,
cs_pdt-ud-dev,9270,0,25,,,1.0,,,,,,,,,,,10.0,,1.0,,,,1.0,12.0,
cs_pdt-ud-train,68491,0,62,,,,,,,,,,,,,,14.0,,,,,,2.0,46.0,
lv_lvtb-ud-test,2412,0,18,,,,,,,,,,,,,,,,,,,,1.0,17.0,
lv_lvtb-ud-train,14358,0,32,,,1.0,,,,,,,,,,,,1.0,,,,,9.0,21.0,
lv_lvtb-ud-dev,2080,0,11,,,1.0,,,,,1.0,,,,,,,1.0,,,,,6.0,2.0,
la_ittb-ud-dev,2101,0,5,,,,,,,,,,,,,,,,,,,,1.0,4.0,
la_ittb-ud-test,2101,0,2,,,,,,,,,,,,,,,,,,,,1.0,1.0,
la_ittb-ud-train,22775,0,24,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,21.0,
ga_cadhan-ud-test,193,0,13,,,,,,,,,,,,,,,,,,,,,13.0,
pl_pud-ud-test,1000,0,1,,,,,,,,,,,,,,,,,,,,,1.0,
orv_torot-ud-test,2955,0,70,,,11.0,,,,,,,,,,,,,,,,,,59.0,
orv_torot-ud-dev,3061,0,136,,,13.0,,,,,,,1.0,,,,,,,,,,2.0,120.0,
orv_torot-ud-train,20480,0,523,2.0,,50.0,,,,,,,,,,,,,,,,,19.0,452.0,
cs_cac-ud-dev,603,0,1,,,,,,,,,,,,,,,,,,,,,1.0,
cs_cac-ud-train,23478,0,55,,,,,,,,,,,,1.0,,11.0,,,,,,2.0,41.0,
cs_cac-ud-test,628,0,10,,,,,,,,,,,,,,1.0,,,,,,2.0,7.0,
pl_lfg-ud-test,1727,0,30,,,,,,,,,,,,10.0,,,,,,,,,20.0,
pl_lfg-ud-train,13774,0,103,,,2.0,,,,,,,,,32.0,,,,,,,,,69.0,
pl_lfg-ud-dev,1745,0,19,,,,,,,,,,,,6.0,,,,,,,,,13.0,
cs_poetry-ud-test,297,0,22,,,,3.0,,,,,,,,,,,,,,,,2.0,17.0,
ru_gsd-ud-train,3850,0,1,,,1.0,,,,,,,,,,,,,,,,,,,
