Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:relcl,advcl,advcl:abs,advcl:cleft,advcl:cmp,advcl:cmpr,advcl:pred,advcl:relcl,advcl:svc,advmod,advmod:emph,amod,amod:flat,appos,aux,aux:caus,aux:clitic,aux:ex,aux:pass,aux:q,case,cc,ccomp,ccomp:cleft,ccomp:obj,ccomp:relcl,ccomp:reported,compound,compound:lvc,compound:redup,compound:svc,conj,conj:expl,cop,cop:locat,cop:outer,csubj,csubj:caus,csubj:cleft,csubj:cop,csubj:outer,csubj:pass,csubj:relcl,csubj:reported,dep,dep:comp,dep:conj,discourse,discourse:q,dislocated,dislocated:ccomp,dislocated:csubj,dislocated:mod,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:foreign,flat:name,flat:redup,flat:repeat,flat:sibl,flat:title,iobj,list,mark,nmod,nmod:arg,nmod:flat,nmod:poss,nmod:pred,nsubj,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:depict,obl:lmod,obl:tmod,orphan,orphan:missing,parataxis,parataxis:conj,parataxis:discourse,parataxis:insert,parataxis:newsent,parataxis:obj,parataxis:rel,parataxis:reporting,parataxis:restart,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:obj,xcomp:pred,xcomp:relcl,xcomp:subj
sl_ssj-ud-test,1282,0,1059,,202.0,,,83.0,,,,,,,,,,,,2.0,,,,,,,,,71.0,,,,,,,,,126.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,402.0,,69.0,,,,,
sl_ssj-ud-dev,1250,0,996,,208.0,,,78.0,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,89.0,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,87.0,,,,,,,,,,,388.0,,57.0,,,,,
sl_ssj-ud-train,10903,0,8262,,1414.0,,,590.0,,,,,,,,,,,,,,,,,,,,,521.0,,,,,,,,,997.0,,,,,225.0,,,,,,,,1.0,,,,,1.0,,,,,,,10.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,7.0,,862.0,,,,,,,,,,,3206.0,,427.0,,,,,
xcl_caval-ud-train,3185,0,5300,,272.0,,,429.0,,,,,,,,,,,,3.0,275.0,3.0,,,,,,,633.0,,,,,,,,,1162.0,,1158.0,,,88.0,6.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,48.0,,,,,,,,,,,1210.0,,1.0,,,,,
xcl_caval-ud-dev,411,0,814,,51.0,,,75.0,,,,,,,,,,,,,47.0,1.0,,,,,,,81.0,,,,,,,,,183.0,,161.0,,,26.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,,,,,,,,,,180.0,,,,,,,
xcl_caval-ud-test,550,0,964,,64.0,,,85.0,,,,,,,,,,,,1.0,53.0,1.0,,,,,,,97.0,,,,,,,,,216.0,,198.0,,,20.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,6.0,,,,,,,,,,,218.0,,,,,,,
el_gud-ud-train,1071,0,1544,,15.0,,110.0,140.0,,,,,,,,,,,,2.0,,,,,,,,,114.0,,,,,,,,,284.0,,23.0,,,12.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,119.0,,,,,,,,,,,672.0,,50.0,,,,,
el_gud-ud-test,736,0,1020,,12.0,,70.0,92.0,,,,,,,,,,,,,,,,,,,,,69.0,,,,,,,,,177.0,,15.0,,,6.0,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,,,,,,,,456.0,,34.0,,,,,
ar_nyuad-ud-train,15789,0,19090,,,,,,,,,,,,,,,,,,,,,,,,14.0,,5702.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2636.0,,10735.0,,,,,
ar_nyuad-ud-dev,1986,0,2406,,,,,,,,,,,,,,,,,,,,,,,,3.0,,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.0,,1349.0,,,,,
ar_nyuad-ud-test,1963,0,2244,,,,,,,,,,,,,,,,,,,,,,,,,1.0,672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.0,,1265.0,,,,,
pl_pdb-ud-test,2215,0,3424,,227.0,,147.0,200.0,,,,13.0,,5.0,,,5.0,,,,122.0,,219.0,,72.0,,,,103.0,14.0,40.0,,,,,,,400.0,,230.0,,,8.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,6.0,,,27.0,51.0,,,,13.0,2.0,14.0,21.0,,21.0,1.0,,,,,,,,,17.0,,87.0,,,,,,1189.0,,165.0,2.0,,2.0,,
pl_pdb-ud-train,17722,0,28530,,1963.0,,1264.0,1808.0,,,,101.0,,33.0,,,31.0,1.0,1.0,2.0,926.0,,1717.0,,751.0,,,,893.0,110.0,382.0,,,,,,,3143.0,,2066.0,,,90.0,,,,,2.0,,,,,,,,,,,,,,,8.0,,,,,,,,70.0,,,218.0,303.0,3.0,,1.0,152.0,8.0,121.0,157.0,4.0,217.0,18.0,,,,7.0,,,,,187.0,,810.0,,,,,,9491.0,,1443.0,13.0,,3.0,,12.0
pl_pdb-ud-dev,2215,0,3424,,263.0,,164.0,220.0,,,,11.0,,,,,3.0,,,,113.0,,203.0,,90.0,,,,109.0,8.0,49.0,,,,,,,372.0,,218.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,30.0,28.0,,,,15.0,1.0,20.0,19.0,,15.0,1.0,,,,2.0,,,,,21.0,,91.0,,,,,,1153.0,,175.0,1.0,,,,2.0
uk_iu-ud-dev,673,0,846,11.0,23.0,,109.0,57.0,,,,,,,4.0,,,9.0,,2.0,7.0,,,,,,,,22.0,,,,,,,,,123.0,,62.0,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,7.0,,,,4.0,,,,,291.0,,45.0,,,,,
uk_iu-ud-train,5521,0,7354,142.0,140.0,1.0,561.0,563.0,,,,,1.0,,25.0,1.0,,102.0,,15.0,120.0,,,,,,,,209.0,,,,,,,,6.0,1080.0,,648.0,,,191.0,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2.0,5.0,,,,9.0,,,,,1.0,,6.0,5.0,,,,,,,5.0,,464.0,,64.0,,,,12.0,,,,,2550.0,,409.0,,,4.0,,
