Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:abs,advcl:cleft,advcl:cmp,advcl:pred,advcl:relcl,amod,appos,aux,aux:caus,aux:pass,ccomp,ccomp:relcl,ccomp:reported,compound,compound:lvc,compound:redup,compound:svc,conj,conj:expl,cop,csubj,csubj:cleft,csubj:pass,csubj:relcl,discourse,dislocated,fixed,nmod,nmod:poss,nsubj,nsubj:pass,obj,obl,obl:arg,orphan,parataxis,parataxis:discourse,reparandum,root,xcomp
tr_pud-ud-test,1000,0,4,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,
la_circse-ud-test,1263,0,69,22.0,,14.0,,,,5.0,,,,,,,1.0,,,,,,,11.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,11.0,2.0
la_perseus-ud-test,939,0,24,2.0,,5.0,1.0,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,6.0,,,,1.0,,,,,,,3.0,3.0
la_perseus-ud-train,1334,0,93,13.0,2.0,18.0,2.0,,1.0,,,,,,,,10.0,,,,,,,11.0,,3.0,,,,,,,,17.0,,1.0,,2.0,2.0,,,,,,10.0,1.0
gub_tudet-ud-test,1182,0,2,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
mr_ufal-ud-dev,46,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
mr_ufal-ud-test,47,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
mr_ufal-ud-train,373,0,9,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,8.0,
si_stb-ud-test,100,0,6,,,,,,,,,,,4.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,286,16.0,11.0,37.0,,,,,1.0,,3.0,4.0,,,24.0,,,,,1.0,1.0,58.0,,,7.0,,,,16.0,,,,,,,,,,,10.0,,,88.0,9.0
hy_bsut-ud-test,595,0,123,1.0,7.0,16.0,,,,,,,,2.0,,,11.0,,,,,,,37.0,,,3.0,,1.0,,7.0,,,,,,,,,,,3.0,,,32.0,3.0
